policy_id,customer_id,policy_type,premium_amount,sum_assured,start_date,end_date,status
POL0000065,CUST000540,Accident Insurance,97224,2287473,2020-10-19,2021-10-19,Active
POL0000066,CUST000462,Health Insurance,98566,4154892,2019-06-24,2021-06-23,Active
POL0000067,CUST000977,Vehicle Insurance,60862,3383988,2026-04-08,2028-04-07,Expired
POL0000068,CUST000189,Accident Insurance,97554,6713317,2021-03-05,2026-03-04,Expired
POL0000069,CUST000327,Health Insurance,6989,5217940,2023-06-30,2026-06-29,Active
POL0000070,CUST000959,Vehicle Insurance,19075,4825380,2025-06-10,2026-06-10,Active
POL0000071,CUST000873,Life Insurance,3682,9665055,2023-05-24,2024-05-23,Lapsed
POL0000072,CUST000762,Life Insurance,116531,4140827,2019-05-13,2024-05-11,Lapsed
POL0000073,CUST000367,Health Insurance,67142,9125328,2019-03-05,2022-03-04,Active
POL0000074,CUST000955,Health Insurance,81526,2013180,2018-09-13,2021-09-12,Active
POL0000075,CUST000527,Travel Insurance,68204,2761532,2025-02-17,2028-02-17,Active
POL0000076,CUST000650,Life Insurance,115733,2958875,2022-09-06,2023-09-06,Active
POL0000077,CUST000637,Vehicle Insurance,28729,9641902,2026-03-06,2031-03-05,Active
POL0000078,CUST000453,Health Insurance,50374,7052847,2019-12-17,2022-12-16,Active
POL0000079,CUST000305,Accident Insurance,63033,5289487,2019-10-04,2024-10-02,Expired
POL0000080,CUST000460,Travel Insurance,59896,9036697,2021-11-26,2024-11-25,Lapsed
POL0000081,CUST000308,Travel Insurance,3957,5314977,2022-08-02,2023-08-02,Active
POL0000082,CUST000331,Vehicle Insurance,112044,1707906,2021-05-15,2023-05-15,Active
POL0000083,CUST000857,Accident Insurance,65869,1979840,2026-01-01,2028-12-31,Expired
POL0000084,CUST000865,Travel Insurance,44346,2775710,2022-08-31,2024-08-30,Lapsed
POL0000085,CUST000007,Vehicle Insurance,74312,4746656,2021-01-23,2023-01-23,Cancelled
POL0000086,CUST000152,Accident Insurance,65740,6813723,2019-01-31,2022-01-30,Active
POL0000087,CUST000138,Health Insurance,109486,6790466,2022-09-15,2024-09-14,Cancelled
POL0000088,CUST000638,Life Insurance,14394,4008171,2024-05-30,2029-05-29,Active
POL0000089,CUST000276,Health Insurance,64348,3249491,2018-12-07,2023-12-06,Active
POL0000090,CUST000268,Health Insurance,37033,753583,2024-03-14,2025-03-14,Active
POL0000091,CUST000345,Accident Insurance,65979,9919578,2022-03-10,2024-03-09,Active
POL0000092,CUST000348,Travel Insurance,93915,5953176,2022-02-19,2023-02-19,Active
POL0000093,CUST000542,Travel Insurance,30754,251381,2020-10-01,2025-09-30,Active
POL0000094,CUST000325,Life Insurance,87220,7980222,2025-03-16,2026-03-16,Lapsed
POL0000095,CUST000529,Health Insurance,19087,4699714,2018-01-02,2021-01-01,Active
POL0000096,CUST000312,Vehicle Insurance,94663,6372799,2024-08-03,2027-08-03,Active
POL0000097,CUST000473,Vehicle Insurance,63444,4287183,2018-10-30,2020-10-29,Active
POL0000098,CUST000575,Accident Insurance,64307,1830376,2025-01-30,2028-01-30,Expired
POL0000099,CUST000046,Travel Insurance,27972,6846458,2020-06-11,2025-06-10,Active
POL0000100,CUST000692,Travel Insurance,82562,7240991,2018-05-19,2020-05-18,Active
POL0000101,CUST000450,Travel Insurance,39705,3115620,2020-02-16,2025-02-14,Active
POL0000102,CUST000013,Accident Insurance,92078,450018,2022-08-17,2027-08-16,Lapsed
POL0000103,CUST000975,Accident Insurance,71146,9371813,2022-07-19,2027-07-18,Active
POL0000104,CUST000598,Accident Insurance,74267,5238677,2024-02-23,2025-02-22,Active
POL0000105,CUST000368,Travel Insurance,92928,4558049,2021-12-05,2023-12-05,Active
POL0000106,CUST000883,Travel Insurance,89422,6151731,2025-02-03,2030-02-02,Active
POL0000107,CUST000218,Health Insurance,87803,6970299,2021-03-13,2022-03-13,Active
POL0000108,CUST000222,Health Insurance,9001,9559747,2020-11-23,2021-11-23,Active
POL0000109,CUST000484,Life Insurance,71155,3056004,2022-08-22,2025-08-21,Active
POL0000110,CUST000296,Life Insurance,49030,6760695,2019-04-01,2022-03-31,Active
POL0000111,CUST000627,Vehicle Insurance,26786,5160166,2025-12-14,2026-12-14,Active
POL0000112,CUST000550,Vehicle Insurance,70836,6387713,2025-08-15,2028-08-14,Active
POL0000113,CUST000782,Accident Insurance,55441,3511999,2023-12-04,2028-12-02,Active
POL0000114,CUST000232,Health Insurance,12726,9117193,2023-01-19,2025-01-18,Active
POL0000115,CUST000251,Health Insurance,91252,8336794,2019-10-04,2021-10-03,Active
POL0000116,CUST000907,Accident Insurance,60835,7572061,2021-05-20,2023-05-20,Lapsed
POL0000117,CUST000792,Travel Insurance,30469,1004480,2023-10-15,2024-10-14,Active
POL0000118,CUST000150,Health Insurance,78206,9775469,2025-06-24,2030-06-23,Cancelled
POL0000119,CUST000381,Vehicle Insurance,13755,2335147,2023-09-02,2026-09-01,Active
POL0000120,CUST000048,Life Insurance,57234,8730142,2019-01-27,2024-01-26,Active
POL0000121,CUST000747,Health Insurance,65191,4081983,2022-05-13,2025-05-12,Active
POL0000122,CUST000526,Vehicle Insurance,60066,9495075,2021-03-24,2024-03-23,Active
POL0000123,CUST000706,Travel Insurance,88116,5692194,2025-08-07,2028-08-06,Expired
POL0000124,CUST000977,Life Insurance,69012,7234489,2020-10-16,2022-10-16,Active
POL0000125,CUST000898,Vehicle Insurance,94088,5651581,2020-03-04,2022-03-04,Active
POL0000126,CUST000547,Accident Insurance,36693,9008911,2019-11-27,2024-11-25,Active
POL0000127,CUST000288,Vehicle Insurance,98679,1542969,2025-06-03,2027-06-03,Active
POL0000128,CUST000967,Health Insurance,24582,8014590,2019-05-08,2020-05-07,Active
POL0000129,CUST000152,Vehicle Insurance,13705,3067544,2024-01-04,2026-01-03,Active
POL0000130,CUST000501,Health Insurance,49327,8423463,2019-12-20,2021-12-19,Active
POL0000131,CUST000788,Vehicle Insurance,73028,7926465,2021-01-01,2023-01-01,Expired
POL0000132,CUST000360,Travel Insurance,97810,2096211,2025-05-09,2026-05-09,Active
POL0000133,CUST000308,Accident Insurance,64736,791743,2024-03-10,2026-03-10,Active
POL0000134,CUST000219,Vehicle Insurance,56037,3450099,2024-01-20,2025-01-19,Cancelled
POL0000135,CUST000157,Vehicle Insurance,111647,5401570,2022-09-20,2025-09-19,Expired
POL0000136,CUST000129,Health Insurance,60233,5728069,2020-08-09,2021-08-09,Active
POL0000137,CUST000831,Accident Insurance,41535,5348194,2018-07-13,2021-07-12,Cancelled
POL0000138,CUST000724,Vehicle Insurance,22748,2497555,2023-05-15,2026-05-14,Expired
POL0000139,CUST000392,Travel Insurance,79319,7564596,2019-01-02,2020-01-02,Active
POL0000140,CUST000446,Life Insurance,42982,8329372,2025-07-07,2028-07-06,Active
POL0000141,CUST000191,Accident Insurance,113533,2239965,2022-07-01,2023-07-01,Cancelled
POL0000142,CUST000907,Life Insurance,16846,3267380,2025-03-07,2027-03-07,Active
POL0000143,CUST000166,Travel Insurance,73897,5537583,2025-03-07,2030-03-06,Active
POL0000144,CUST000063,Vehicle Insurance,61451,2630105,2019-12-15,2024-12-13,Active
POL0000145,CUST000536,Accident Insurance,86196,8464418,2019-11-04,2021-11-03,Active
POL0000146,CUST000021,Life Insurance,119405,8166364,2026-01-03,2028-01-03,Active
POL0000147,CUST000595,Life Insurance,34854,9647146,2019-03-23,2022-03-22,Active
POL0000148,CUST000061,Travel Insurance,48695,3532841,2025-09-04,2030-09-03,Active
POL0000149,CUST000128,Life Insurance,49830,7055191,2018-04-06,2023-04-05,Active
POL0000150,CUST000050,Accident Insurance,17169,8312189,2025-05-03,2030-05-02,Active
POL0000151,CUST000316,Travel Insurance,109463,2287584,2025-06-04,2030-06-03,Active
POL0000152,CUST000988,Accident Insurance,89128,5109601,2024-08-22,2027-08-22,Lapsed
POL0000153,CUST000642,Life Insurance,46486,1923911,2020-02-12,2023-02-11,Active
POL0000154,CUST000393,Health Insurance,42353,8431654,2024-01-24,2027-01-23,Active
POL0000155,CUST000401,Accident Insurance,102073,9408336,2022-08-15,2024-08-14,Active
POL0000156,CUST000320,Health Insurance,89677,7174197,2019-04-30,2024-04-28,Active
POL0000157,CUST000391,Accident Insurance,93509,6945946,2018-12-23,2023-12-22,Active
POL0000158,CUST000876,Life Insurance,113248,5871478,2020-03-24,2021-03-24,Active
POL0000159,CUST000138,Health Insurance,52343,7484388,2020-07-09,2022-07-09,Lapsed
POL0000160,CUST000362,Accident Insurance,66487,1928146,2020-10-17,2025-10-16,Active
POL0000161,CUST000235,Accident Insurance,8713,8257846,2022-07-29,2024-07-28,Active
POL0000162,CUST000007,Health Insurance,12641,7296884,2021-12-10,2023-12-10,Expired
POL0000163,CUST000562,Health Insurance,107371,7649402,2025-06-15,2028-06-14,Active
POL0000164,CUST000813,Health Insurance,108400,5440369,2021-10-18,2026-10-17,Active
POL0000165,CUST000432,Life Insurance,36391,5313093,2022-06-23,2025-06-22,Active
POL0000166,CUST000218,Accident Insurance,104330,2917824,2025-11-15,2030-11-14,Active
POL0000167,CUST000825,Vehicle Insurance,79463,4517323,2022-02-12,2027-02-11,Active
POL0000168,CUST000008,Life Insurance,41717,4484853,2019-07-06,2024-07-04,Active
POL0000169,CUST000542,Life Insurance,94784,720017,2019-02-10,2022-02-09,Active
POL0000170,CUST000739,Vehicle Insurance,87636,2205636,2022-11-24,2025-11-23,Lapsed
POL0000171,CUST000500,Life Insurance,8729,4812213,2021-02-02,2026-02-01,Expired
POL0000172,CUST000913,Health Insurance,38831,4036644,2025-01-09,2030-01-08,Active
POL0000173,CUST000701,Accident Insurance,67286,8002726,2024-07-13,2029-07-12,Lapsed
POL0000174,CUST000586,Health Insurance,63843,2344481,2020-02-08,2021-02-07,Active
POL0000175,CUST000597,Health Insurance,54647,1852355,2023-11-02,2025-11-01,Active
POL0000176,CUST000472,Accident Insurance,68147,9450007,2020-06-26,2025-06-25,Active
POL0000177,CUST000105,Life Insurance,105390,1838265,2021-10-26,2022-10-26,Active
POL0000178,CUST000322,Health Insurance,72313,2219548,2022-06-12,2023-06-12,Active
POL0000179,CUST000335,Health Insurance,16874,6755015,2021-12-30,2022-12-30,Active
POL0000180,CUST000933,Travel Insurance,63709,4140594,2024-08-06,2025-08-06,Active
POL0000181,CUST000624,Vehicle Insurance,51720,6688472,2022-12-21,2025-12-20,Active
POL0000182,CUST000997,Life Insurance,81544,4136925,2022-12-20,2027-12-19,Active
POL0000183,CUST000167,Life Insurance,99982,7766658,2018-08-19,2020-08-18,Active
POL0000184,CUST000567,Health Insurance,118860,4814350,2019-08-07,2022-08-06,Active
POL0000185,CUST000609,Travel Insurance,90784,8145540,2024-05-24,2027-05-24,Active
POL0000186,CUST000205,Accident Insurance,26612,5840679,2022-10-17,2023-10-17,Active
POL0000187,CUST000022,Health Insurance,3107,1218587,2025-03-16,2030-03-15,Active
POL0000188,CUST000891,Health Insurance,63372,9857229,2022-05-30,2027-05-29,Active
POL0000189,CUST000689,Life Insurance,47055,5232490,2022-03-18,2025-03-17,Active
POL0000190,CUST000952,Accident Insurance,41977,1568606,2019-05-13,2024-05-11,Active
POL0000191,CUST000200,Life Insurance,38353,1120303,2023-05-06,2024-05-05,Cancelled
POL0000192,CUST000063,Travel Insurance,89513,4581556,2021-03-07,2026-03-06,Active
POL0000193,CUST000173,Travel Insurance,47585,2542336,2018-05-05,2020-05-04,Active
POL0000194,CUST000506,Life Insurance,18383,9610887,2023-11-26,2024-11-25,Active
POL0000195,CUST000514,Vehicle Insurance,68849,8836248,2024-07-24,2029-07-23,Active
POL0000196,CUST000949,Health Insurance,6896,6308118,2019-09-13,2020-09-12,Active
POL0000197,CUST000496,Accident Insurance,94627,776571,2020-03-05,2025-03-04,Lapsed
POL0000198,CUST000619,Accident Insurance,58137,2180698,2018-06-02,2021-06-01,Expired
POL0000199,CUST000550,Travel Insurance,4650,4344516,2018-06-09,2020-06-08,Active
POL0000200,CUST000672,Health Insurance,57088,4470564,2020-07-02,2025-07-01,Active
POL0000201,CUST000553,Travel Insurance,10365,6934434,2024-12-10,2025-12-10,Active
POL0000202,CUST000333,Accident Insurance,117699,3716426,2021-09-27,2023-09-27,Lapsed
POL0000203,CUST000705,Accident Insurance,11011,592057,2023-03-02,2025-03-01,Active
POL0000204,CUST000972,Life Insurance,10599,3180447,2022-08-13,2025-08-12,Active
POL0000205,CUST000766,Travel Insurance,96689,9814570,2019-06-03,2024-06-01,Expired
POL0000206,CUST000052,Accident Insurance,107749,7954793,2019-01-01,2020-12-31,Expired
POL0000207,CUST000092,Vehicle Insurance,114411,7282182,2022-05-14,2025-05-13,Active
POL0000208,CUST000368,Accident Insurance,36400,3229808,2018-08-14,2020-08-13,Expired
POL0000209,CUST000479,Vehicle Insurance,24049,6614647,2025-11-04,2030-11-03,Lapsed
POL0000210,CUST000477,Health Insurance,24816,9235433,2023-12-23,2024-12-22,Active
POL0000211,CUST000510,Travel Insurance,57309,3217754,2025-12-06,2028-12-05,Expired
POL0000212,CUST000840,Travel Insurance,8133,4759286,2020-11-17,2025-11-16,Active
POL0000213,CUST000041,Vehicle Insurance,98019,6662773,2024-11-26,2029-11-25,Active
POL0000214,CUST000753,Accident Insurance,54469,5892384,2026-04-06,2031-04-05,Cancelled
POL0000215,CUST000570,Accident Insurance,17394,8505766,2022-11-20,2024-11-19,Active
POL0000216,CUST000233,Life Insurance,30809,8747421,2025-03-31,2026-03-31,Active
POL0000217,CUST000244,Vehicle Insurance,29630,8074635,2023-06-21,2026-06-20,Active
POL0000218,CUST000158,Travel Insurance,96408,2987828,2022-05-05,2027-05-04,Active
POL0000219,CUST000415,Vehicle Insurance,71192,9050053,2021-07-16,2022-07-16,Active
POL0000220,CUST000421,Travel Insurance,22092,5106487,2024-03-06,2029-03-05,Expired
POL0000221,CUST000183,Vehicle Insurance,9403,4435784,2018-09-17,2020-09-16,Active
POL0000222,CUST000305,Vehicle Insurance,67547,1521544,2021-11-29,2024-11-28,Active
POL0000223,CUST000746,Travel Insurance,110237,9135053,2018-05-05,2020-05-04,Lapsed
POL0000224,CUST000668,Health Insurance,24242,9417820,2020-03-01,2025-02-28,Active
POL0000225,CUST000080,Accident Insurance,35717,5529386,2022-07-09,2025-07-08,Cancelled
POL0000226,CUST000843,Vehicle Insurance,103190,1603404,2018-04-29,2020-04-28,Lapsed
POL0000227,CUST000475,Vehicle Insurance,13545,9828158,2022-10-19,2024-10-18,Active
POL0000228,CUST000674,Travel Insurance,90568,8978514,2024-01-23,2026-01-22,Active
POL0000229,CUST000791,Vehicle Insurance,37518,2215192,2024-01-03,2025-01-02,Expired
POL0000230,CUST000007,Health Insurance,45307,2200380,2025-09-02,2030-09-01,Active
POL0000231,CUST000811,Life Insurance,9660,4450247,2024-01-08,2025-01-07,Active
POL0000232,CUST000980,Accident Insurance,92956,8370532,2020-05-29,2022-05-29,Lapsed
POL0000233,CUST000220,Accident Insurance,79438,5677930,2019-03-08,2024-03-06,Expired
POL0000234,CUST000474,Vehicle Insurance,75913,1361542,2018-11-15,2021-11-14,Active
POL0000235,CUST000733,Travel Insurance,109562,2780722,2020-05-26,2023-05-26,Active
POL0000236,CUST000712,Life Insurance,102732,4466543,2025-08-11,2026-08-11,Lapsed
POL0000237,CUST000341,Health Insurance,102209,2692743,2019-04-24,2022-04-23,Active
POL0000238,CUST000170,Travel Insurance,101394,2306791,2025-01-23,2028-01-23,Active
POL0000239,CUST000614,Accident Insurance,108176,9284398,2019-07-04,2024-07-02,Active
POL0000240,CUST000092,Life Insurance,40783,8633423,2018-01-24,2021-01-23,Active
POL0000241,CUST000043,Life Insurance,40137,3746090,2024-08-23,2026-08-23,Active
POL0000242,CUST000152,Health Insurance,50285,6711488,2025-11-06,2026-11-06,Lapsed
POL0000243,CUST000197,Vehicle Insurance,73142,2313387,2022-06-17,2027-06-16,Expired
POL0000244,CUST000823,Accident Insurance,71072,4266128,2020-05-22,2025-05-21,Expired
POL0000245,CUST000413,Life Insurance,99129,4832520,2026-04-19,2031-04-18,Active
POL0000246,CUST000756,Accident Insurance,25439,5833718,2018-11-21,2023-11-20,Cancelled
POL0000247,CUST000181,Life Insurance,33636,6044883,2022-09-28,2025-09-27,Expired
POL0000248,CUST000645,Travel Insurance,97178,4948127,2018-07-24,2021-07-23,Active
POL0000249,CUST000219,Life Insurance,92241,1439975,2018-07-01,2019-07-01,Active
POL0000250,CUST000163,Life Insurance,82876,4951845,2021-03-23,2022-03-23,Active
POL0000251,CUST000812,Life Insurance,60968,5675159,2024-10-20,2026-10-20,Active
POL0000252,CUST000694,Health Insurance,6122,5802568,2025-02-15,2028-02-15,Expired
POL0000253,CUST000648,Travel Insurance,103215,9201061,2025-10-26,2026-10-26,Active
POL0000254,CUST000419,Travel Insurance,31364,6005179,2019-11-06,2020-11-05,Active
POL0000255,CUST000919,Life Insurance,18737,8999678,2019-01-26,2024-01-25,Cancelled
POL0000256,CUST000584,Accident Insurance,40236,2679707,2018-12-14,2023-12-13,Expired
POL0000257,CUST000004,Vehicle Insurance,111583,7368251,2024-07-13,2025-07-13,Active
POL0000258,CUST000862,Health Insurance,14526,4735943,2021-02-13,2022-02-13,Active
POL0000259,CUST000717,Accident Insurance,71439,6688349,2025-06-12,2030-06-11,Active
POL0000260,CUST000723,Vehicle Insurance,106399,142888,2021-11-08,2022-11-08,Active
POL0000261,CUST000269,Travel Insurance,50106,4795637,2018-11-14,2020-11-13,Expired
POL0000262,CUST000267,Health Insurance,27478,1303394,2025-11-10,2027-11-10,Active
POL0000263,CUST000857,Health Insurance,25319,4878028,2019-01-28,2022-01-27,Active
POL0000264,CUST000017,Vehicle Insurance,20180,9402505,2023-05-13,2025-05-12,Active
POL0000265,CUST000258,Health Insurance,5955,8136910,2018-09-24,2021-09-23,Active
POL0000266,CUST000777,Life Insurance,111851,474672,2024-02-15,2026-02-14,Active
POL0000267,CUST000850,Accident Insurance,102140,1560861,2022-03-14,2027-03-13,Expired
POL0000268,CUST000007,Life Insurance,94914,9511593,2020-04-28,2025-04-27,Active
POL0000269,CUST000769,Travel Insurance,18502,5149418,2020-06-22,2025-06-21,Active
POL0000270,CUST000857,Vehicle Insurance,58435,1153026,2020-02-22,2021-02-21,Cancelled
POL0000271,CUST000464,Health Insurance,84215,1615266,2025-09-29,2027-09-29,Active
POL0000272,CUST000897,Life Insurance,106723,6363884,2024-03-20,2025-03-20,Cancelled
POL0000273,CUST000676,Accident Insurance,93029,4360323,2023-07-30,2026-07-29,Active
POL0000274,CUST000950,Life Insurance,57251,6237897,2022-09-29,2023-09-29,Expired
POL0000275,CUST000005,Travel Insurance,11943,5844194,2023-01-15,2028-01-14,Active
POL0000276,CUST000615,Life Insurance,28180,9805099,2020-05-12,2022-05-12,Active
POL0000277,CUST000138,Travel Insurance,51436,2037050,2025-08-18,2026-08-18,Expired
POL0000278,CUST000490,Vehicle Insurance,109908,698698,2021-11-26,2023-11-26,Active
POL0000279,CUST000070,Travel Insurance,59656,259382,2025-03-07,2027-03-07,Expired
POL0000280,CUST000593,Vehicle Insurance,81096,284734,2025-03-10,2028-03-09,Active
POL0000281,CUST000357,Accident Insurance,17422,2836316,2025-09-26,2030-09-25,Cancelled
POL0000282,CUST000155,Vehicle Insurance,103177,4678789,2022-02-05,2023-02-05,Lapsed
POL0000283,CUST000024,Vehicle Insurance,20961,9824802,2021-09-24,2024-09-23,Active
POL0000284,CUST000165,Accident Insurance,115398,5612456,2022-02-06,2023-02-06,Active
POL0000285,CUST000517,Accident Insurance,77613,8227786,2020-01-04,2025-01-02,Active
POL0000286,CUST000827,Accident Insurance,110657,376296,2019-11-02,2022-11-01,Active
POL0000287,CUST000226,Accident Insurance,116185,937756,2024-11-13,2027-11-13,Active
POL0000288,CUST000836,Travel Insurance,47619,2521209,2023-12-04,2028-12-02,Active
POL0000289,CUST000202,Vehicle Insurance,44317,1253756,2021-04-25,2026-04-24,Active
POL0000290,CUST000996,Health Insurance,8531,4059241,2023-06-11,2025-06-10,Active
POL0000291,CUST000719,Health Insurance,62885,7322950,2024-01-09,2025-01-08,Active
POL0000292,CUST000523,Accident Insurance,115634,4968093,2022-12-26,2023-12-26,Active
POL0000293,CUST000278,Travel Insurance,110349,2097075,2022-05-04,2027-05-03,Expired
POL0000294,CUST000550,Life Insurance,41812,8788227,2018-03-16,2019-03-16,Expired
POL0000295,CUST000117,Accident Insurance,25887,6407275,2020-10-24,2021-10-24,Active
POL0000296,CUST000991,Accident Insurance,20900,8317621,2020-07-19,2025-07-18,Lapsed
POL0000297,CUST000699,Accident Insurance,32060,9847043,2022-08-08,2023-08-08,Active
POL0000298,CUST000867,Health Insurance,66073,8295615,2024-11-30,2026-11-30,Cancelled
POL0000299,CUST000133,Vehicle Insurance,39807,7854109,2023-11-05,2025-11-04,Active
POL0000300,CUST000811,Life Insurance,94115,7105964,2022-12-15,2023-12-15,Active
POL0000301,CUST000081,Life Insurance,112219,5087358,2026-02-13,2028-02-13,Active
POL0000302,CUST000903,Travel Insurance,60181,7102023,2023-06-04,2024-06-03,Lapsed
POL0000303,CUST000346,Health Insurance,89437,3568612,2023-10-26,2025-10-25,Active
POL0000304,CUST000880,Health Insurance,50202,5887279,2022-12-11,2025-12-10,Lapsed
POL0000305,CUST000138,Travel Insurance,48075,368558,2021-09-05,2024-09-04,Active
POL0000306,CUST000409,Travel Insurance,94432,4664154,2024-12-05,2026-12-05,Active
POL0000307,CUST000835,Health Insurance,49736,1216032,2024-03-02,2025-03-02,Lapsed
POL0000308,CUST000895,Health Insurance,69052,4211879,2025-12-12,2027-12-12,Active
POL0000309,CUST000092,Vehicle Insurance,100813,8357342,2018-06-26,2019-06-26,Active
POL0000310,CUST000927,Life Insurance,3618,1059746,2020-04-27,2021-04-27,Active
POL0000311,CUST000056,Vehicle Insurance,86619,2483829,2023-05-20,2028-05-18,Active
POL0000312,CUST000766,Vehicle Insurance,114440,1778176,2023-12-11,2024-12-10,Active
