fraud_id,transaction_id,fraud_type,risk_score,detected_date,investigation_status,loss_amount
FRD0000091,TXN000003868,Suspicious High Value Transfer,56,2025-12-15,Closed,21807.6
FRD0000092,TXN000006954,UPI Scam,85,2025-12-09,Open,23982.84
FRD0000093,TXN000000767,Phishing,63,2024-04-03,Confirmed Fraud,42873.0
FRD0000094,TXN000008438,UPI Scam,93,2025-03-19,Confirmed Fraud,1606.2
FRD0000095,TXN000004250,Phishing,81,2025-01-12,In Progress,9970.81
FRD0000096,TXN000003649,Account Takeover,84,2025-12-22,Confirmed Fraud,3439.72
FRD0000097,TXN000001722,Phishing,67,2026-01-14,In Progress,73448.36
FRD0000098,TXN000008127,UPI Scam,57,2024-11-16,Closed,3874.88
FRD0000099,TXN000000935,Card Skimming,72,2025-10-19,In Progress,62593.35
FRD0000100,TXN000003812,UPI Scam,63,2026-05-06,Open,43747.62
FRD0000101,TXN000005020,Identity Theft,89,2025-02-01,False Positive,15333.68
FRD0000102,TXN000006289,Suspicious High Value Transfer,92,2025-08-11,Open,63605.47
FRD0000103,TXN000006196,Account Takeover,99,2025-11-30,False Positive,56525.5
FRD0000104,TXN000005247,Account Takeover,67,2025-05-19,In Progress,28633.16
FRD0000105,TXN000002201,Card Skimming,99,2025-06-23,False Positive,7368.34
FRD0000106,TXN000000032,Identity Theft,55,2025-08-15,Confirmed Fraud,25251.55
FRD0000107,TXN000003017,Suspicious High Value Transfer,65,2024-05-24,In Progress,23679.16
FRD0000108,TXN000009544,Card Skimming,79,2024-10-18,False Positive,60109.81
FRD0000109,TXN000006521,Identity Theft,71,2025-06-01,Open,97674.07
FRD0000110,TXN000001517,Account Takeover,94,2025-01-20,In Progress,88390.05
FRD0000111,TXN000007721,Card Skimming,56,2026-05-12,Open,14864.24
FRD0000112,TXN000009653,Suspicious High Value Transfer,70,2025-11-30,In Progress,111210.53
FRD0000113,TXN000002804,UPI Scam,95,2024-04-19,False Positive,27942.46
FRD0000114,TXN000007697,Account Takeover,66,2026-03-08,Closed,34639.33
FRD0000115,TXN000003225,Identity Theft,91,2026-04-15,Confirmed Fraud,123735.93
FRD0000116,TXN000007659,Card Skimming,73,2025-12-31,Closed,24171.9
FRD0000117,TXN000001645,Card Skimming,96,2025-02-11,In Progress,43384.42
FRD0000118,TXN000002516,Phishing,63,2026-03-14,Closed,15742.88
FRD0000119,TXN000003867,Card Skimming,73,2024-06-25,Confirmed Fraud,69607.23
FRD0000120,TXN000009947,Identity Theft,68,2025-05-22,Closed,17856.97
FRD0000121,TXN000001956,Account Takeover,65,2024-02-01,In Progress,71502.95
FRD0000122,TXN000003298,Suspicious High Value Transfer,70,2024-10-16,In Progress,11433.93
FRD0000123,TXN000000530,Card Skimming,57,2025-04-11,Confirmed Fraud,58766.36
FRD0000124,TXN000004636,Identity Theft,99,2025-08-30,In Progress,75245.8
FRD0000125,TXN000003989,Phishing,64,2026-04-10,Confirmed Fraud,42217.36
FRD0000126,TXN000001227,Phishing,65,2024-07-16,In Progress,20326.62
FRD0000127,TXN000001212,Identity Theft,65,2024-03-08,Open,37045.83
FRD0000128,TXN000002080,Card Skimming,74,2025-04-11,Open,60204.48
FRD0000129,TXN000002582,Phishing,97,2024-12-11,Open,19586.69
FRD0000130,TXN000009575,UPI Scam,81,2024-01-06,Closed,84021.23
FRD0000131,TXN000002025,Suspicious High Value Transfer,84,2024-04-18,In Progress,63878.06
FRD0000132,TXN000008209,Identity Theft,96,2026-01-17,Open,26370.83
FRD0000133,TXN000005124,Suspicious High Value Transfer,63,2024-04-02,Closed,135105.15
FRD0000134,TXN000004930,Phishing,66,2025-05-15,Closed,47068.52
FRD0000135,TXN000006986,Identity Theft,98,2026-03-02,In Progress,18624.67
FRD0000136,TXN000008829,Account Takeover,68,2024-08-14,In Progress,26610.66
FRD0000137,TXN000004068,Suspicious High Value Transfer,64,2025-04-04,Closed,67983.42
FRD0000138,TXN000007227,Suspicious High Value Transfer,65,2025-07-25,Open,19257.14
FRD0000139,TXN000005870,Card Skimming,84,2024-09-05,Open,10367.98
FRD0000140,TXN000001982,Card Skimming,99,2024-09-04,Open,36755.2
FRD0000141,TXN000005341,Phishing,78,2025-08-04,Confirmed Fraud,34863.39
FRD0000142,TXN000003772,Account Takeover,64,2026-04-18,Confirmed Fraud,69595.69
FRD0000143,TXN000007713,Phishing,73,2024-06-14,Open,57298.14
FRD0000144,TXN000007230,Account Takeover,79,2025-05-20,Closed,42913.16
FRD0000145,TXN000007559,Identity Theft,60,2024-04-21,Open,48025.77
FRD0000146,TXN000001066,Identity Theft,90,2025-05-17,Open,72374.96
FRD0000147,TXN000008712,Card Skimming,97,2025-07-18,False Positive,6045.9
FRD0000148,TXN000003234,UPI Scam,78,2024-03-21,Closed,38707.3
FRD0000149,TXN000001340,Suspicious High Value Transfer,71,2024-03-06,Closed,61316.25
FRD0000150,TXN000006412,Account Takeover,73,2026-04-19,Confirmed Fraud,42389.01
FRD0000151,TXN000004471,Account Takeover,61,2026-03-25,In Progress,38280.84
FRD0000152,TXN000000602,Account Takeover,58,2025-04-12,Closed,21019.25
FRD0000153,TXN000007990,Card Skimming,65,2024-07-07,Closed,107902.52
FRD0000154,TXN000004589,Identity Theft,91,2025-09-04,Open,78709.91
FRD0000155,TXN000004927,Card Skimming,69,2025-05-03,False Positive,10107.39
FRD0000156,TXN000008780,Account Takeover,91,2026-03-19,False Positive,3732.09
FRD0000157,TXN000006698,Account Takeover,62,2025-07-28,Open,11734.98
FRD0000158,TXN000002436,Phishing,88,2025-08-15,Confirmed Fraud,54028.6
FRD0000159,TXN000007894,Card Skimming,97,2024-02-16,Closed,35934.5
FRD0000160,TXN000000088,Card Skimming,59,2024-03-03,In Progress,55423.28
FRD0000161,TXN000001338,Account Takeover,60,2025-09-03,Open,17054.81
FRD0000162,TXN000002356,UPI Scam,64,2024-01-15,Confirmed Fraud,56044.52
FRD0000163,TXN000007035,Identity Theft,56,2026-04-17,Confirmed Fraud,22659.71
FRD0000164,TXN000009057,Phishing,69,2024-02-23,Confirmed Fraud,55399.34
FRD0000165,TXN000000637,Card Skimming,60,2025-06-07,In Progress,31371.94
FRD0000166,TXN000006533,UPI Scam,60,2024-05-03,In Progress,31097.76
FRD0000167,TXN000001737,Suspicious High Value Transfer,93,2025-05-13,False Positive,52883.36
FRD0000168,TXN000003905,Identity Theft,78,2025-03-02,Open,32863.36
FRD0000169,TXN000003711,UPI Scam,69,2025-12-12,Confirmed Fraud,95159.91
FRD0000170,TXN000006451,UPI Scam,91,2024-08-13,Open,82826.7
FRD0000171,TXN000005996,Account Takeover,85,2024-05-31,Closed,17190.4
FRD0000172,TXN000005826,Phishing,84,2024-09-22,In Progress,35680.8
FRD0000173,TXN000000657,UPI Scam,69,2025-12-10,Open,25256.0
FRD0000174,TXN000007905,Phishing,98,2024-03-15,Confirmed Fraud,51552.75
FRD0000175,TXN000005812,UPI Scam,62,2026-03-10,False Positive,54254.31
FRD0000176,TXN000001045,UPI Scam,80,2024-01-17,In Progress,48339.79
FRD0000177,TXN000006788,UPI Scam,99,2024-03-05,False Positive,71260.6
FRD0000178,TXN000000864,Phishing,90,2026-01-17,Confirmed Fraud,129.75
FRD0000179,TXN000004816,Identity Theft,63,2025-04-27,In Progress,25169.03
FRD0000180,TXN000003722,Phishing,100,2026-04-14,In Progress,139980.41
FRD0000181,TXN000006319,UPI Scam,67,2025-05-11,In Progress,43180.98
FRD0000182,TXN000002404,Card Skimming,82,2024-09-13,In Progress,29352.93
FRD0000183,TXN000005178,Suspicious High Value Transfer,73,2025-10-18,In Progress,66661.38
FRD0000184,TXN000003568,Phishing,94,2026-05-06,False Positive,7133.61
FRD0000185,TXN000002921,Phishing,71,2025-03-30,False Positive,1352.09
FRD0000186,TXN000008294,UPI Scam,57,2025-05-11,Confirmed Fraud,49500.97
FRD0000187,TXN000003381,Suspicious High Value Transfer,93,2024-05-27,False Positive,47003.1
FRD0000188,TXN000002393,Card Skimming,93,2025-08-09,Open,55069.75
FRD0000189,TXN000006092,Account Takeover,57,2024-06-14,False Positive,52190.61
FRD0000190,TXN000007460,Card Skimming,62,2024-03-31,Confirmed Fraud,47353.75
FRD0000191,TXN000000925,Card Skimming,97,2025-01-09,False Positive,51172.36
FRD0000192,TXN000002358,Phishing,60,2025-01-24,Open,16864.18
FRD0000193,TXN000003243,UPI Scam,59,2025-06-12,In Progress,3797.16
FRD0000194,TXN000006973,Card Skimming,85,2024-06-12,Confirmed Fraud,50505.98
FRD0000195,TXN000009669,Phishing,63,2025-10-07,In Progress,17183.24
FRD0000196,TXN000002767,Phishing,56,2026-01-03,In Progress,67766.2
FRD0000197,TXN000003157,Phishing,87,2026-04-29,False Positive,35295.3
FRD0000198,TXN000008973,Account Takeover,98,2025-11-07,Confirmed Fraud,35512.0
FRD0000199,TXN000005295,Phishing,81,2025-05-15,Open,41740.2
FRD0000200,TXN000009642,Card Skimming,76,2025-05-25,Open,12941.23
FRD0000201,TXN000009703,Account Takeover,87,2024-02-05,Open,25821.62
FRD0000202,TXN000001298,Identity Theft,81,2024-02-17,False Positive,59845.5
FRD0000203,TXN000006726,Phishing,100,2025-08-07,Open,12516.17
FRD0000204,TXN000007653,Phishing,98,2026-01-19,Confirmed Fraud,25896.68
FRD0000205,TXN000002466,UPI Scam,85,2024-02-09,Confirmed Fraud,14497.77
FRD0000206,TXN000009332,UPI Scam,73,2024-06-04,False Positive,102133.28
FRD0000207,TXN000009760,UPI Scam,56,2025-10-06,Open,99327.2
FRD0000208,TXN000008394,Account Takeover,68,2024-04-19,Closed,409.7
FRD0000209,TXN000009571,Identity Theft,67,2024-12-02,Confirmed Fraud,60369.75
FRD0000210,TXN000008496,Card Skimming,98,2024-09-23,Confirmed Fraud,60769.96
FRD0000211,TXN000005531,Card Skimming,60,2026-05-14,Open,96744.3
FRD0000212,TXN000007525,Card Skimming,87,2026-04-12,Closed,66641.59
FRD0000213,TXN000005877,Identity Theft,95,2025-02-10,Closed,18707.14
FRD0000214,TXN000006150,Account Takeover,55,2025-05-01,In Progress,95932.91
FRD0000215,TXN000002055,Suspicious High Value Transfer,75,2026-04-22,Confirmed Fraud,16233.16
FRD0000216,TXN000009783,Account Takeover,96,2024-08-17,In Progress,62173.82
FRD0000217,TXN000002398,Card Skimming,97,2025-05-19,Closed,81269.66
FRD0000218,TXN000007900,Identity Theft,59,2025-03-03,In Progress,44528.41
FRD0000219,TXN000002298,Suspicious High Value Transfer,93,2025-11-01,Open,16704.49
FRD0000220,TXN000002005,Card Skimming,93,2024-06-06,False Positive,32638.53
FRD0000221,TXN000001150,Suspicious High Value Transfer,91,2024-05-19,In Progress,57928.61
FRD0000222,TXN000001125,Phishing,96,2024-03-15,In Progress,29559.07
FRD0000223,TXN000003785,Identity Theft,62,2026-05-10,In Progress,53840.55
FRD0000224,TXN000001037,Suspicious High Value Transfer,79,2024-01-06,Confirmed Fraud,70506.22
FRD0000225,TXN000004262,Card Skimming,87,2026-02-27,False Positive,35141.03
FRD0000226,TXN000004983,Suspicious High Value Transfer,69,2026-04-30,In Progress,108744.13
FRD0000227,TXN000008622,UPI Scam,100,2025-04-19,In Progress,24942.22
FRD0000228,TXN000000735,UPI Scam,99,2025-07-02,Open,17608.02
FRD0000229,TXN000004409,UPI Scam,64,2024-02-07,Confirmed Fraud,69946.79
FRD0000230,TXN000002743,Suspicious High Value Transfer,59,2026-05-04,Open,24135.13
FRD0000231,TXN000006587,Phishing,96,2025-12-15,False Positive,37813.49
FRD0000232,TXN000003786,Card Skimming,98,2025-05-11,False Positive,79318.79
FRD0000233,TXN000004502,Suspicious High Value Transfer,79,2025-01-14,False Positive,31260.0
FRD0000234,TXN000009138,UPI Scam,69,2025-10-28,Confirmed Fraud,20706.97
FRD0000235,TXN000001261,Account Takeover,78,2024-05-13,Open,96445.39
FRD0000236,TXN000004949,Phishing,100,2026-05-20,False Positive,29144.98
FRD0000237,TXN000002172,Account Takeover,100,2024-04-16,Open,205.99
FRD0000238,TXN000001621,UPI Scam,100,2026-04-22,Closed,88957.95
FRD0000239,TXN000001752,Identity Theft,56,2025-03-05,In Progress,87637.37
FRD0000240,TXN000004090,Phishing,90,2024-03-25,In Progress,61325.17
FRD0000241,TXN000004459,Suspicious High Value Transfer,62,2024-06-28,Open,25029.77
FRD0000242,TXN000008223,Suspicious High Value Transfer,59,2025-03-05,False Positive,41957.75
FRD0000243,TXN000003691,Suspicious High Value Transfer,87,2024-01-09,Open,378.74
FRD0000244,TXN000003849,Suspicious High Value Transfer,75,2025-10-19,False Positive,54442.87
FRD0000245,TXN000009846,Account Takeover,78,2024-06-16,False Positive,41230.88
FRD0000246,TXN000004540,Identity Theft,73,2024-11-07,False Positive,27011.45
FRD0000247,TXN000006276,Suspicious High Value Transfer,56,2024-01-21,In Progress,10557.13
FRD0000248,TXN000001597,Account Takeover,71,2025-09-09,Confirmed Fraud,67012.57
FRD0000249,TXN000001180,Identity Theft,64,2024-03-21,Open,35141.38
FRD0000250,TXN000002136,Card Skimming,97,2024-01-08,In Progress,4542.78
FRD0000251,TXN000008727,Account Takeover,93,2024-04-17,Confirmed Fraud,49943.25
FRD0000252,TXN000009042,UPI Scam,69,2024-10-27,Open,8731.28
FRD0000253,TXN000001201,Suspicious High Value Transfer,91,2024-05-19,Closed,51372.36
FRD0000254,TXN000009297,Card Skimming,59,2024-10-11,Open,46724.66
FRD0000255,TXN000006433,Identity Theft,67,2025-08-09,Confirmed Fraud,43729.94
FRD0000256,TXN000005101,Identity Theft,57,2026-01-15,Open,66061.07
FRD0000257,TXN000008509,Card Skimming,69,2024-03-30,False Positive,15145.86
FRD0000258,TXN000001235,Phishing,61,2024-09-29,Confirmed Fraud,438.68
FRD0000259,TXN000003058,Account Takeover,74,2025-05-21,False Positive,90900.09
FRD0000260,TXN000000035,Identity Theft,67,2024-03-24,In Progress,29288.55
FRD0000261,TXN000000951,UPI Scam,92,2024-12-05,Confirmed Fraud,82029.28
FRD0000262,TXN000000007,Phishing,84,2026-05-15,In Progress,16418.75
FRD0000263,TXN000003171,Identity Theft,96,2025-10-23,Open,120759.69
FRD0000264,TXN000003541,Identity Theft,74,2024-04-28,Confirmed Fraud,3420.24
FRD0000265,TXN000008941,Suspicious High Value Transfer,79,2025-05-18,False Positive,98556.26
FRD0000266,TXN000009323,Identity Theft,68,2025-03-25,In Progress,19535.32
FRD0000267,TXN000003708,UPI Scam,98,2024-01-10,In Progress,4717.89
FRD0000268,TXN000002378,Card Skimming,82,2024-11-25,In Progress,29710.56
FRD0000269,TXN000000647,Account Takeover,78,2025-09-18,Closed,48355.45
FRD0000270,TXN000006634,Account Takeover,75,2025-01-10,False Positive,88699.25
FRD0000271,TXN000000745,Identity Theft,87,2025-09-12,Closed,14450.85
FRD0000272,TXN000008675,Identity Theft,68,2025-04-19,Confirmed Fraud,66113.66
FRD0000273,TXN000007790,UPI Scam,99,2025-05-07,Confirmed Fraud,70659.66
FRD0000274,TXN000005460,UPI Scam,61,2025-07-18,False Positive,23286.63
FRD0000275,TXN000002854,UPI Scam,82,2026-03-11,Open,38720.02
FRD0000276,TXN000003597,Card Skimming,100,2024-07-27,Open,38615.56
FRD0000277,TXN000003716,Identity Theft,84,2024-04-08,Closed,11204.46
FRD0000278,TXN000001911,Suspicious High Value Transfer,62,2026-04-29,Closed,62904.69
FRD0000279,TXN000005022,Phishing,78,2024-02-05,Open,11684.28
FRD0000280,TXN000000714,Identity Theft,68,2025-12-29,In Progress,61614.03
FRD0000281,TXN000008399,UPI Scam,63,2026-03-30,In Progress,36224.13
FRD0000282,TXN000002183,Identity Theft,73,2024-09-24,Confirmed Fraud,1770.08
FRD0000283,TXN000000887,Card Skimming,72,2025-02-11,Confirmed Fraud,49275.9
FRD0000284,TXN000001258,Phishing,80,2025-12-24,Open,40102.45
FRD0000285,TXN000009435,Card Skimming,86,2025-07-11,Open,5002.17
FRD0000286,TXN000008310,Account Takeover,58,2025-04-20,Open,141305.7
FRD0000287,TXN000001841,Suspicious High Value Transfer,55,2024-05-04,Closed,65776.75
FRD0000288,TXN000004618,Suspicious High Value Transfer,85,2024-02-09,In Progress,1165.38
FRD0000289,TXN000006615,Identity Theft,89,2024-10-27,Open,95690.88
FRD0000290,TXN000006337,UPI Scam,71,2024-05-01,False Positive,15655.24
FRD0000291,TXN000005319,Card Skimming,80,2025-11-13,False Positive,1360.03
FRD0000292,TXN000004805,Card Skimming,79,2024-02-19,In Progress,12040.7
FRD0000293,TXN000008567,UPI Scam,95,2026-01-22,False Positive,34696.57
FRD0000294,TXN000001419,UPI Scam,58,2025-03-05,In Progress,18253.73
FRD0000295,TXN000009661,Identity Theft,93,2025-01-21,Confirmed Fraud,69691.96
FRD0000296,TXN000007969,Suspicious High Value Transfer,62,2024-12-15,False Positive,27372.12
FRD0000297,TXN000006067,Phishing,63,2025-06-23,Confirmed Fraud,119470.18
FRD0000298,TXN000009455,UPI Scam,65,2025-12-03,Confirmed Fraud,122939.4
FRD0000299,TXN000003583,Suspicious High Value Transfer,75,2025-07-31,False Positive,60133.04
FRD0000300,TXN000008530,Account Takeover,94,2025-04-08,Open,11756.29
FRD0000301,TXN000005284,Account Takeover,84,2024-04-09,In Progress,10352.81
FRD0000302,TXN000001652,UPI Scam,99,2024-12-11,Open,14121.18
FRD0000303,TXN000002875,Account Takeover,57,2026-01-17,In Progress,7329.21
FRD0000304,TXN000008444,Card Skimming,80,2026-03-22,Closed,79776.29
FRD0000305,TXN000006240,UPI Scam,61,2025-12-02,Confirmed Fraud,35588.99
FRD0000306,TXN000001866,UPI Scam,83,2025-10-30,False Positive,22648.13
FRD0000307,TXN000005403,Identity Theft,77,2025-01-14,Closed,75480.87
FRD0000308,TXN000001735,Account Takeover,67,2025-10-28,In Progress,1439.76
FRD0000309,TXN000001468,Account Takeover,98,2025-06-24,Closed,7566.78
FRD0000310,TXN000002322,Card Skimming,94,2025-06-12,Open,26834.93
FRD0000311,TXN000002709,Card Skimming,90,2024-05-08,Confirmed Fraud,7871.8
FRD0000312,TXN000005733,Account Takeover,88,2024-06-12,False Positive,3162.67
FRD0000313,TXN000001666,Suspicious High Value Transfer,62,2025-04-02,Open,25214.07
FRD0000314,TXN000000592,Suspicious High Value Transfer,64,2024-11-25,Open,101064.44
FRD0000315,TXN000005381,Suspicious High Value Transfer,70,2025-12-16,False Positive,68564.66
FRD0000316,TXN000006139,Card Skimming,65,2025-05-26,In Progress,2698.13
FRD0000317,TXN000008975,Identity Theft,98,2026-05-15,In Progress,11212.64
FRD0000318,TXN000005437,Identity Theft,85,2024-02-07,Open,35231.78
FRD0000319,TXN000008356,Suspicious High Value Transfer,79,2024-07-12,False Positive,47120.64
FRD0000320,TXN000008003,Account Takeover,57,2025-09-18,False Positive,28049.05
FRD0000321,TXN000008955,Identity Theft,67,2024-07-17,Confirmed Fraud,25645.23
FRD0000322,TXN000003912,Account Takeover,100,2026-02-20,In Progress,181.39
FRD0000323,TXN000003670,Card Skimming,85,2025-11-13,Confirmed Fraud,24561.15
FRD0000324,TXN000005878,Identity Theft,83,2024-12-16,Closed,30960.56
FRD0000325,TXN000002628,Account Takeover,72,2025-04-30,In Progress,60404.63
FRD0000326,TXN000008607,Identity Theft,73,2024-08-28,False Positive,77005.62
FRD0000327,TXN000000111,Card Skimming,93,2024-08-29,In Progress,17876.28
FRD0000328,TXN000004394,Identity Theft,59,2026-03-18,Closed,5823.97
FRD0000329,TXN000006154,UPI Scam,97,2025-08-20,False Positive,56093.5
FRD0000330,TXN000006014,Account Takeover,76,2024-03-17,Confirmed Fraud,406.0
FRD0000331,TXN000007543,Identity Theft,82,2024-06-28,Open,9111.72
FRD0000332,TXN000005860,Identity Theft,100,2025-02-25,False Positive,88503.11
FRD0000333,TXN000002508,Account Takeover,72,2024-06-05,Confirmed Fraud,9584.04
FRD0000334,TXN000001880,UPI Scam,82,2026-01-09,In Progress,34469.85
FRD0000335,TXN000007717,Card Skimming,61,2024-06-11,False Positive,1309.36
FRD0000336,TXN000003448,Identity Theft,91,2024-06-29,Confirmed Fraud,4702.95
FRD0000337,TXN000008763,Identity Theft,91,2025-11-14,False Positive,10300.61
FRD0000338,TXN000004387,Phishing,99,2025-09-27,Confirmed Fraud,28893.84
FRD0000339,TXN000002000,Phishing,57,2025-07-20,Closed,37148.13
