ticket_id,customer_id,issue_type,priority,status,created_date,resolved_date,channel
TKT00000038,CUST000906,Chargeback,High,Resolved,2024-04-30,2024-05-04,Branch
TKT00000039,CUST000899,Loan Query,Low,In Progress,2025-06-13,,Email
TKT00000040,CUST000803,Account Access,High,Open,2026-02-23,,Phone
TKT00000041,CUST000950,Failed Transaction,Low,Closed,2024-12-30,2025-01-13,Branch
TKT00000042,CUST000857,Fraud Complaint,Critical,Closed,2024-12-24,2025-01-05,Chat
TKT00000043,CUST000796,Statement Request,High,Resolved,2025-09-16,2025-09-30,Mobile App
TKT00000044,CUST000544,Account Access,Critical,Closed,2024-12-29,2025-01-02,Phone
TKT00000045,CUST000765,Statement Request,Medium,Closed,2024-02-21,2024-03-06,Phone
TKT00000046,CUST000456,Account Access,High,Resolved,2024-02-22,2024-02-25,Phone
TKT00000047,CUST000404,Loan Query,Low,In Progress,2024-01-03,,Branch
TKT00000048,CUST000971,Failed Transaction,High,Open,2025-12-01,,Mobile App
TKT00000049,CUST000220,Loan Query,Low,Closed,2026-01-26,2026-02-02,Phone
TKT00000050,CUST000363,Loan Query,Medium,Resolved,2025-07-08,2025-07-17,Email
TKT00000051,CUST000725,Loan Query,High,Resolved,2026-04-18,2026-05-03,Mobile App
TKT00000052,CUST000023,Card Block,High,Resolved,2025-09-27,2025-10-05,Mobile App
TKT00000053,CUST000185,Card Block,Critical,Resolved,2024-09-28,2024-10-03,Email
TKT00000054,CUST000584,Fraud Complaint,Medium,Resolved,2025-02-22,2025-03-04,Phone
TKT00000055,CUST000190,Failed Transaction,Medium,Resolved,2026-04-28,2026-05-02,Branch
TKT00000056,CUST000759,Chargeback,Critical,Open,2025-07-31,,Branch
TKT00000057,CUST000150,KYC Update,Medium,Closed,2026-04-24,2026-04-28,Email
TKT00000058,CUST000722,Failed Transaction,Medium,Open,2025-08-24,,Mobile App
TKT00000059,CUST000245,Chargeback,Low,In Progress,2025-02-26,,Chat
TKT00000060,CUST000334,Card Block,Medium,Resolved,2024-07-07,2024-07-09,Mobile App
TKT00000061,CUST000958,Statement Request,High,In Progress,2025-03-11,,Phone
TKT00000062,CUST000331,Fraud Complaint,Medium,Closed,2024-11-03,2024-11-11,Branch
TKT00000063,CUST000204,Failed Transaction,Critical,Resolved,2025-09-18,2025-09-28,Mobile App
TKT00000064,CUST000922,KYC Update,Low,Resolved,2024-02-22,2024-03-03,Chat
TKT00000065,CUST000497,Account Access,Critical,Closed,2024-05-24,2024-06-08,Phone
TKT00000066,CUST000815,Card Block,Medium,Open,2024-04-08,,Mobile App
TKT00000067,CUST000490,Loan Query,Medium,Closed,2025-07-03,2025-07-14,Phone
TKT00000068,CUST000470,Failed Transaction,Medium,Closed,2024-10-22,2024-10-23,Branch
TKT00000069,CUST000564,Card Block,Medium,Resolved,2025-01-20,2025-01-24,Branch
TKT00000070,CUST000964,Failed Transaction,Low,Resolved,2024-12-02,2024-12-16,Phone
TKT00000071,CUST000450,Failed Transaction,High,Open,2024-11-03,,Mobile App
TKT00000072,CUST000260,Chargeback,Critical,Resolved,2025-04-01,2025-04-10,Branch
TKT00000073,CUST000378,Fraud Complaint,Critical,In Progress,2024-07-16,,Branch
TKT00000074,CUST000706,Failed Transaction,High,Closed,2026-03-10,2026-03-12,Phone
TKT00000075,CUST000461,Failed Transaction,High,In Progress,2026-03-02,,Phone
TKT00000076,CUST000236,Chargeback,Low,Closed,2025-05-17,2025-05-23,Chat
TKT00000077,CUST000671,Statement Request,Critical,In Progress,2024-05-19,,Mobile App
TKT00000078,CUST000762,KYC Update,Low,Resolved,2025-08-24,2025-09-08,Email
TKT00000079,CUST000613,Card Block,Low,Open,2024-08-31,,Branch
TKT00000080,CUST000364,Card Block,Low,In Progress,2024-01-13,,Email
TKT00000081,CUST000829,KYC Update,Medium,Closed,2024-07-03,2024-07-06,Email
TKT00000082,CUST000121,Chargeback,High,Closed,2024-10-09,2024-10-17,Branch
TKT00000083,CUST000930,Loan Query,High,Resolved,2024-08-19,2024-08-20,Mobile App
TKT00000084,CUST000800,Statement Request,Low,Closed,2024-08-23,2024-09-03,Phone
TKT00000085,CUST000529,Loan Query,High,Resolved,2024-11-13,2024-11-15,Branch
TKT00000086,CUST000193,Fraud Complaint,Low,Closed,2025-12-12,2025-12-13,Phone
TKT00000087,CUST000053,KYC Update,Critical,Closed,2026-03-20,2026-03-28,Phone
TKT00000088,CUST000461,KYC Update,Low,Closed,2024-02-11,2024-02-14,Chat
TKT00000089,CUST000255,KYC Update,Critical,Open,2024-08-27,,Mobile App
TKT00000090,CUST000352,Fraud Complaint,High,Closed,2025-10-02,2025-10-15,Email
TKT00000091,CUST000191,Chargeback,Medium,Resolved,2024-07-14,2024-07-18,Mobile App
TKT00000092,CUST000763,Chargeback,Critical,Closed,2024-08-15,2024-08-21,Mobile App
TKT00000093,CUST000744,KYC Update,Medium,Resolved,2024-12-20,2024-12-30,Chat
TKT00000094,CUST000830,Statement Request,Medium,In Progress,2025-03-10,,Phone
TKT00000095,CUST000924,Chargeback,Medium,Resolved,2025-11-27,2025-12-12,Chat
TKT00000096,CUST000125,KYC Update,Low,Closed,2024-10-14,2024-10-18,Branch
TKT00000097,CUST000208,Account Access,Low,Closed,2024-08-15,2024-08-28,Mobile App
TKT00000098,CUST000539,Account Access,High,Closed,2024-07-18,2024-07-25,Email
TKT00000099,CUST000384,Statement Request,Medium,Closed,2025-10-29,2025-11-04,Branch
TKT00000100,CUST000842,Statement Request,Medium,Closed,2025-08-01,2025-08-08,Branch
TKT00000101,CUST000304,KYC Update,Critical,Resolved,2025-03-28,2025-04-12,Branch
TKT00000102,CUST000847,Statement Request,High,Open,2024-03-29,,Phone
TKT00000103,CUST000175,KYC Update,High,Resolved,2025-01-09,2025-01-18,Email
TKT00000104,CUST000320,Account Access,Medium,In Progress,2025-09-13,,Chat
TKT00000105,CUST000280,Statement Request,Low,In Progress,2025-06-12,,Branch
TKT00000106,CUST000435,Loan Query,High,In Progress,2024-01-22,,Email
TKT00000107,CUST000435,Loan Query,Low,Open,2024-10-04,,Branch
TKT00000108,CUST000692,Chargeback,High,Closed,2024-03-19,2024-03-21,Email
TKT00000109,CUST000301,Failed Transaction,High,Resolved,2025-11-05,2025-11-08,Branch
TKT00000110,CUST000220,Loan Query,Low,Resolved,2025-10-24,2025-10-26,Chat
TKT00000111,CUST000372,Card Block,Critical,Closed,2026-01-29,2026-02-06,Phone
TKT00000112,CUST000577,Statement Request,Critical,Closed,2025-05-11,2025-05-21,Email
TKT00000113,CUST000632,Chargeback,Critical,Open,2024-08-23,,Phone
TKT00000114,CUST000100,Chargeback,Critical,Closed,2024-09-26,2024-10-04,Chat
TKT00000115,CUST000596,Fraud Complaint,Low,In Progress,2025-09-20,,Phone
TKT00000116,CUST000504,Card Block,Low,Closed,2024-11-27,2024-12-02,Mobile App
TKT00000117,CUST000689,Statement Request,Medium,Resolved,2025-01-11,2025-01-18,Mobile App
TKT00000118,CUST000812,Fraud Complaint,Critical,Closed,2025-07-24,2025-07-27,Chat
TKT00000119,CUST000211,KYC Update,Critical,Open,2026-03-28,,Mobile App
TKT00000120,CUST000543,Fraud Complaint,High,Closed,2026-02-08,2026-02-12,Mobile App
TKT00000121,CUST000262,Loan Query,High,Resolved,2024-10-19,2024-10-31,Mobile App
TKT00000122,CUST000558,Account Access,Critical,Closed,2026-05-11,2026-05-17,Email
TKT00000123,CUST000134,Chargeback,Low,Resolved,2024-08-11,2024-08-25,Phone
TKT00000124,CUST000767,KYC Update,Medium,Closed,2024-09-06,2024-09-18,Phone
TKT00000125,CUST000129,Account Access,Low,Resolved,2026-03-06,2026-03-13,Mobile App
TKT00000126,CUST000082,Chargeback,High,Resolved,2025-09-02,2025-09-12,Branch
TKT00000127,CUST000753,Card Block,Medium,In Progress,2025-12-14,,Email
TKT00000128,CUST000660,Fraud Complaint,Low,Resolved,2026-03-16,2026-03-20,Email
TKT00000129,CUST000582,Account Access,Low,Resolved,2026-02-12,2026-02-27,Chat
TKT00000130,CUST000929,Account Access,Critical,Closed,2024-05-05,2024-05-18,Branch
TKT00000131,CUST000751,Loan Query,Medium,Resolved,2025-07-07,2025-07-20,Phone
TKT00000132,CUST000486,Fraud Complaint,Critical,Open,2025-03-13,,Mobile App
TKT00000133,CUST000119,Loan Query,Medium,Open,2024-12-01,,Email
TKT00000134,CUST000289,Account Access,Critical,Resolved,2024-07-29,2024-08-10,Chat
TKT00000135,CUST000860,Chargeback,Critical,Resolved,2024-08-13,2024-08-23,Branch
TKT00000136,CUST000281,Chargeback,Medium,Resolved,2025-07-27,2025-08-02,Chat
TKT00000137,CUST000741,Card Block,Medium,Closed,2025-09-14,2025-09-25,Branch
TKT00000138,CUST000461,Account Access,Medium,Open,2024-05-10,,Email
TKT00000139,CUST000788,Fraud Complaint,Low,Resolved,2024-08-07,2024-08-10,Phone
TKT00000140,CUST000316,Fraud Complaint,High,Open,2024-05-15,,Chat
TKT00000141,CUST000069,Card Block,Low,Resolved,2024-04-27,2024-05-11,Email
TKT00000142,CUST000589,Statement Request,High,Resolved,2025-10-23,2025-10-30,Email
TKT00000143,CUST000676,KYC Update,Medium,In Progress,2024-11-08,,Email
TKT00000144,CUST000835,KYC Update,Critical,In Progress,2026-03-14,,Mobile App
TKT00000145,CUST000814,Loan Query,Low,Resolved,2025-01-10,2025-01-12,Phone
TKT00000146,CUST000127,Card Block,Low,Closed,2024-01-30,2024-01-31,Branch
TKT00000147,CUST000283,KYC Update,Low,Closed,2025-10-12,2025-10-23,Branch
TKT00000148,CUST000969,Card Block,Low,Resolved,2025-04-28,2025-05-13,Branch
TKT00000149,CUST000890,KYC Update,Critical,Resolved,2025-02-19,2025-02-27,Mobile App
TKT00000150,CUST000658,Chargeback,Low,In Progress,2025-09-09,,Mobile App
TKT00000151,CUST000453,Card Block,Medium,In Progress,2025-05-03,,Chat
TKT00000152,CUST000147,Loan Query,High,Resolved,2026-01-11,2026-01-13,Email
TKT00000153,CUST000914,Account Access,Low,In Progress,2026-03-14,,Chat
TKT00000154,CUST000340,Fraud Complaint,High,Open,2026-04-06,,Email
TKT00000155,CUST000943,Loan Query,High,Resolved,2024-05-23,2024-05-27,Branch
TKT00000156,CUST000553,Loan Query,Critical,Closed,2025-07-12,2025-07-27,Mobile App
TKT00000157,CUST000617,Account Access,Critical,Resolved,2024-06-15,2024-06-18,Chat
TKT00000158,CUST000321,Failed Transaction,Low,Closed,2025-04-08,2025-04-19,Branch
TKT00000159,CUST000761,Failed Transaction,High,Closed,2025-03-19,2025-04-02,Chat
TKT00000160,CUST000584,Failed Transaction,Critical,Closed,2024-08-09,2024-08-24,Chat
TKT00000161,CUST000670,KYC Update,Low,Resolved,2025-07-23,2025-07-30,Chat
TKT00000162,CUST000166,Account Access,High,In Progress,2025-03-19,,Chat
TKT00000163,CUST000922,Account Access,Medium,Resolved,2024-06-20,2024-07-04,Email
TKT00000164,CUST000052,Failed Transaction,Critical,Resolved,2025-08-23,2025-09-07,Phone
TKT00000165,CUST000334,Loan Query,Critical,Resolved,2025-11-27,2025-12-06,Mobile App
TKT00000166,CUST000276,Fraud Complaint,High,Resolved,2025-08-30,2025-09-14,Phone
TKT00000167,CUST000941,Account Access,Medium,Resolved,2024-11-01,2024-11-13,Chat
TKT00000168,CUST000822,Chargeback,Medium,Resolved,2025-11-27,2025-12-05,Branch
TKT00000169,CUST000513,Account Access,High,Resolved,2024-08-29,2024-09-01,Phone
TKT00000170,CUST000374,Card Block,Low,Open,2024-05-02,,Mobile App
TKT00000171,CUST000085,KYC Update,Low,Resolved,2024-01-12,2024-01-15,Mobile App
TKT00000172,CUST000455,Fraud Complaint,High,Resolved,2025-04-24,2025-04-29,Email
TKT00000173,CUST000117,Loan Query,High,Resolved,2025-09-11,2025-09-13,Chat
TKT00000174,CUST000827,Loan Query,High,Closed,2026-02-19,2026-03-03,Email
TKT00000175,CUST000988,KYC Update,Critical,Resolved,2026-01-15,2026-01-19,Phone
TKT00000176,CUST000029,Card Block,Medium,Open,2025-10-01,,Phone
TKT00000177,CUST000300,KYC Update,Critical,Resolved,2024-01-24,2024-01-31,Branch
TKT00000178,CUST000887,Account Access,Medium,In Progress,2024-10-17,,Branch
TKT00000179,CUST000165,Statement Request,High,Resolved,2024-06-23,2024-06-24,Chat
TKT00000180,CUST000650,Chargeback,Critical,Resolved,2025-05-23,2025-05-31,Mobile App
TKT00000181,CUST000459,Statement Request,Low,Resolved,2025-06-18,2025-07-01,Phone
TKT00000182,CUST000626,Chargeback,Medium,Open,2024-10-14,,Chat
TKT00000183,CUST000140,Card Block,Critical,Open,2025-12-23,,Chat
TKT00000184,CUST000031,Loan Query,Low,Resolved,2024-12-07,2024-12-09,Chat
TKT00000185,CUST000230,Card Block,High,Resolved,2025-09-13,2025-09-24,Chat
TKT00000186,CUST000828,Loan Query,Critical,In Progress,2025-06-18,,Branch
TKT00000187,CUST000267,Chargeback,Critical,Closed,2025-05-15,2025-05-26,Email
TKT00000188,CUST000268,Fraud Complaint,Medium,Open,2025-06-29,,Branch
TKT00000189,CUST000115,Chargeback,High,Closed,2024-04-20,2024-04-25,Chat
TKT00000190,CUST000541,Account Access,Low,Resolved,2024-02-01,2024-02-05,Email
TKT00000191,CUST000294,Chargeback,Critical,Resolved,2025-06-23,2025-07-07,Email
TKT00000192,CUST000331,Chargeback,Critical,In Progress,2026-04-20,,Phone
TKT00000193,CUST000720,Chargeback,Low,Closed,2024-05-14,2024-05-17,Email
TKT00000194,CUST000522,Fraud Complaint,High,Open,2025-04-10,,Email
TKT00000195,CUST000906,Statement Request,High,Resolved,2024-05-03,2024-05-07,Chat
TKT00000196,CUST000040,Loan Query,Low,Resolved,2024-01-05,2024-01-09,Phone
TKT00000197,CUST000036,Fraud Complaint,Low,In Progress,2026-05-20,,Mobile App
TKT00000198,CUST000634,Chargeback,High,Closed,2026-04-03,2026-04-05,Mobile App
TKT00000199,CUST000793,Statement Request,High,In Progress,2024-04-07,,Mobile App
TKT00000200,CUST000876,Chargeback,Critical,Resolved,2025-04-02,2025-04-17,Email
TKT00000201,CUST000309,Account Access,Critical,In Progress,2024-12-11,,Chat
TKT00000202,CUST000027,Failed Transaction,High,Resolved,2026-01-07,2026-01-08,Phone
TKT00000203,CUST000539,Failed Transaction,Critical,In Progress,2024-07-13,,Email
TKT00000204,CUST000625,Card Block,High,Resolved,2024-02-29,2024-03-07,Email
TKT00000205,CUST000658,Statement Request,High,Resolved,2024-02-14,2024-02-15,Branch
TKT00000206,CUST000345,Loan Query,Medium,Resolved,2024-11-05,2024-11-14,Branch
TKT00000207,CUST000858,Account Access,Critical,Closed,2024-12-16,2024-12-17,Chat
TKT00000208,CUST000489,Fraud Complaint,Low,Open,2024-12-31,,Branch
TKT00000209,CUST000536,KYC Update,Medium,Resolved,2024-12-21,2024-12-24,Branch
TKT00000210,CUST000463,Chargeback,Low,Resolved,2026-01-26,2026-02-02,Mobile App
TKT00000211,CUST000406,Fraud Complaint,Medium,Resolved,2026-04-11,2026-04-13,Email
TKT00000212,CUST000470,Card Block,Medium,In Progress,2026-04-05,,Branch
TKT00000213,CUST000902,Account Access,Medium,Resolved,2024-07-31,2024-08-02,Branch
TKT00000214,CUST000437,Fraud Complaint,Critical,Resolved,2024-02-07,2024-02-16,Phone
TKT00000215,CUST000514,Fraud Complaint,Critical,Closed,2026-01-06,2026-01-17,Email
TKT00000216,CUST000685,Card Block,Critical,Resolved,2025-06-01,2025-06-12,Branch
TKT00000217,CUST000646,Card Block,Critical,In Progress,2025-03-05,,Phone
TKT00000218,CUST000351,Card Block,Critical,Resolved,2025-05-15,2025-05-27,Chat
TKT00000219,CUST000661,Fraud Complaint,High,Open,2024-04-28,,Mobile App
TKT00000220,CUST000470,Loan Query,High,Open,2024-12-12,,Chat
TKT00000221,CUST000355,Failed Transaction,Low,Closed,2025-07-14,2025-07-28,Chat
TKT00000222,CUST000836,Statement Request,High,Open,2024-08-28,,Mobile App
TKT00000223,CUST000704,Chargeback,High,Open,2025-01-28,,Branch
TKT00000224,CUST000329,Card Block,Medium,Closed,2025-02-10,2025-02-11,Phone
TKT00000225,CUST000699,Chargeback,Low,Resolved,2025-10-22,2025-11-02,Branch
TKT00000226,CUST000334,Fraud Complaint,Low,Closed,2024-12-09,2024-12-17,Chat
TKT00000227,CUST000010,Chargeback,Critical,In Progress,2025-02-22,,Chat
TKT00000228,CUST000544,Account Access,Low,In Progress,2025-06-14,,Chat
TKT00000229,CUST000335,Card Block,Low,Resolved,2025-05-31,2025-06-13,Branch
TKT00000230,CUST000404,Account Access,Low,Resolved,2024-05-25,2024-05-30,Mobile App
TKT00000231,CUST000662,Card Block,High,Resolved,2025-01-10,2025-01-11,Chat
TKT00000232,CUST000008,Card Block,Critical,In Progress,2026-02-12,,Branch
TKT00000233,CUST000134,KYC Update,Low,In Progress,2026-02-05,,Email
TKT00000234,CUST000398,Account Access,High,Resolved,2024-06-26,2024-07-06,Branch
TKT00000235,CUST000002,Chargeback,High,Closed,2024-02-21,2024-02-25,Branch
TKT00000236,CUST000719,Loan Query,Low,Resolved,2025-04-18,2025-04-20,Email
TKT00000237,CUST000351,Account Access,High,Open,2026-03-18,,Email
TKT00000238,CUST000053,Failed Transaction,Critical,Resolved,2026-03-31,2026-04-10,Mobile App
TKT00000239,CUST000033,Failed Transaction,Critical,Open,2024-07-01,,Mobile App
TKT00000240,CUST000558,Statement Request,Medium,Resolved,2024-10-30,2024-10-31,Phone
TKT00000241,CUST000668,Fraud Complaint,High,Resolved,2024-04-28,2024-05-06,Email
TKT00000242,CUST000359,Loan Query,Low,Resolved,2026-01-18,2026-01-30,Branch
TKT00000243,CUST000955,Fraud Complaint,High,Resolved,2025-02-26,2025-03-13,Chat
TKT00000244,CUST000727,Card Block,Low,Resolved,2025-05-12,2025-05-13,Branch
TKT00000245,CUST000181,Fraud Complaint,Medium,Resolved,2025-10-11,2025-10-22,Branch
TKT00000246,CUST000253,Card Block,Medium,Resolved,2024-10-14,2024-10-22,Phone
TKT00000247,CUST000416,Account Access,High,Closed,2025-03-17,2025-03-30,Chat
TKT00000248,CUST000332,KYC Update,Medium,Resolved,2024-12-27,2025-01-08,Phone
TKT00000249,CUST000765,KYC Update,Critical,Resolved,2024-01-26,2024-02-01,Branch
TKT00000250,CUST000039,Account Access,Critical,Closed,2024-08-02,2024-08-10,Mobile App
TKT00000251,CUST000528,Chargeback,Critical,Closed,2026-04-22,2026-05-02,Branch
TKT00000252,CUST000992,KYC Update,Low,In Progress,2026-03-22,,Phone
TKT00000253,CUST000098,Fraud Complaint,Critical,Resolved,2026-01-20,2026-01-24,Email
TKT00000254,CUST000827,Loan Query,Critical,Closed,2025-09-03,2025-09-18,Phone
TKT00000255,CUST000122,KYC Update,Medium,Closed,2025-12-28,2026-01-11,Chat
TKT00000256,CUST000041,Failed Transaction,Medium,Closed,2026-02-09,2026-02-22,Mobile App
TKT00000257,CUST000650,Fraud Complaint,Critical,Resolved,2024-07-29,2024-08-05,Phone
TKT00000258,CUST000133,KYC Update,High,Open,2025-05-11,,Mobile App
TKT00000259,CUST000856,Failed Transaction,High,Closed,2024-02-02,2024-02-16,Mobile App
TKT00000260,CUST000891,Fraud Complaint,Medium,In Progress,2024-07-01,,Email
TKT00000261,CUST000602,Statement Request,Medium,Resolved,2025-04-17,2025-04-18,Mobile App
TKT00000262,CUST000718,Statement Request,Medium,Resolved,2024-07-01,2024-07-10,Phone
TKT00000263,CUST000778,Account Access,Critical,Resolved,2025-03-28,2025-03-29,Chat
TKT00000264,CUST000065,Failed Transaction,High,In Progress,2025-04-02,,Email
TKT00000265,CUST000433,Chargeback,Medium,Closed,2025-08-01,2025-08-02,Chat
TKT00000266,CUST000790,Chargeback,High,Resolved,2025-08-01,2025-08-06,Phone
TKT00000267,CUST000488,Fraud Complaint,Medium,Resolved,2024-10-21,2024-10-29,Email
TKT00000268,CUST000167,KYC Update,Critical,Closed,2026-05-20,2026-05-31,Branch
TKT00000269,CUST000869,Statement Request,Medium,Resolved,2025-06-02,2025-06-07,Phone
TKT00000270,CUST000868,Statement Request,High,Resolved,2025-09-17,2025-09-21,Chat
TKT00000271,CUST000811,Failed Transaction,Low,Closed,2024-03-23,2024-03-30,Phone
TKT00000272,CUST000055,Card Block,Low,Resolved,2025-03-05,2025-03-07,Mobile App
TKT00000273,CUST000867,KYC Update,Critical,Closed,2025-09-19,2025-09-23,Email
TKT00000274,CUST000137,Fraud Complaint,Low,Closed,2024-09-20,2024-10-04,Email
TKT00000275,CUST000903,Chargeback,Medium,Resolved,2024-08-09,2024-08-14,Mobile App
TKT00000276,CUST000276,Loan Query,Low,Resolved,2025-09-22,2025-10-02,Email
TKT00000277,CUST000256,Account Access,Medium,Resolved,2025-12-28,2026-01-06,Mobile App
TKT00000278,CUST000139,Fraud Complaint,Low,Resolved,2025-11-03,2025-11-11,Email
TKT00000279,CUST000059,KYC Update,Critical,Closed,2024-05-13,2024-05-14,Branch
TKT00000280,CUST000864,KYC Update,Critical,Closed,2025-08-26,2025-09-07,Chat
TKT00000281,CUST000391,Statement Request,Low,Closed,2025-12-11,2025-12-15,Email
TKT00000282,CUST000571,Card Block,High,In Progress,2025-04-19,,Chat
TKT00000283,CUST000245,Chargeback,High,Closed,2024-11-20,2024-12-02,Branch
TKT00000284,CUST000071,Card Block,Medium,Resolved,2025-02-13,2025-02-19,Email
TKT00000285,CUST000054,Loan Query,Medium,Closed,2025-07-20,2025-07-26,Email
TKT00000286,CUST000742,Failed Transaction,Low,Resolved,2025-02-28,2025-03-02,Email
TKT00000287,CUST000031,Card Block,High,Closed,2024-07-28,2024-07-31,Mobile App
TKT00000288,CUST000438,Account Access,Low,Closed,2024-12-23,2024-12-30,Phone
TKT00000289,CUST000603,Failed Transaction,Low,Resolved,2024-04-01,2024-04-15,Email
TKT00000290,CUST000055,Statement Request,High,Resolved,2025-12-23,2025-12-25,Mobile App
TKT00000291,CUST000258,Loan Query,Critical,In Progress,2025-01-29,,Email
TKT00000292,CUST000185,Statement Request,High,Resolved,2024-09-23,2024-10-02,Mobile App
TKT00000293,CUST000522,Card Block,Critical,Resolved,2025-01-15,2025-01-26,Email
TKT00000294,CUST000567,Account Access,Low,In Progress,2024-12-11,,Email
TKT00000295,CUST000581,Failed Transaction,Critical,Resolved,2024-06-10,2024-06-12,Chat
TKT00000296,CUST000841,KYC Update,Low,In Progress,2025-07-21,,Branch
TKT00000297,CUST000493,Statement Request,Medium,Resolved,2024-04-07,2024-04-18,Mobile App
TKT00000298,CUST000368,Account Access,High,Resolved,2024-07-02,2024-07-09,Branch
TKT00000299,CUST000960,Statement Request,High,Open,2026-03-08,,Phone
TKT00000300,CUST000618,Card Block,Medium,Resolved,2024-04-21,2024-05-05,Branch
TKT00000301,CUST000981,Account Access,Critical,In Progress,2026-02-11,,Email
TKT00000302,CUST000173,Failed Transaction,Low,Closed,2024-12-02,2024-12-11,Branch
TKT00000303,CUST000445,Failed Transaction,Critical,Resolved,2026-04-16,2026-04-26,Email
TKT00000304,CUST000018,Card Block,Low,In Progress,2025-03-18,,Mobile App
TKT00000305,CUST000842,Card Block,High,Resolved,2026-03-16,2026-03-29,Chat
TKT00000306,CUST000027,Loan Query,Critical,Resolved,2025-06-14,2025-06-24,Mobile App
TKT00000307,CUST000830,Loan Query,High,Closed,2025-07-06,2025-07-15,Phone
TKT00000308,CUST000584,Failed Transaction,Medium,Resolved,2024-05-24,2024-05-28,Phone
TKT00000309,CUST000330,Statement Request,Medium,Resolved,2025-09-24,2025-10-03,Chat
TKT00000310,CUST000137,Chargeback,Low,Resolved,2025-12-12,2025-12-21,Email
TKT00000311,CUST000110,Statement Request,Critical,Open,2025-08-26,,Mobile App
TKT00000312,CUST000421,Loan Query,Low,Closed,2024-06-28,2024-07-10,Chat
TKT00000313,CUST000222,Loan Query,Medium,Resolved,2024-02-11,2024-02-26,Mobile App
TKT00000314,CUST000400,KYC Update,Medium,In Progress,2024-11-05,,Branch
TKT00000315,CUST000850,Chargeback,Low,In Progress,2025-10-17,,Branch
TKT00000316,CUST000346,Account Access,Medium,Resolved,2025-12-08,2025-12-21,Phone
TKT00000317,CUST000130,KYC Update,Critical,In Progress,2024-10-30,,Email
TKT00000318,CUST000865,Fraud Complaint,Medium,Resolved,2025-11-01,2025-11-10,Mobile App
TKT00000319,CUST000644,Failed Transaction,High,Open,2025-01-01,,Email
