transaction_id,account_id,transaction_date,transaction_type,amount,merchant_name,payment_mode,status,city,channel
TXN000000030,ACC0001152,2024-08-20,Credit,31497.17,BigBasket,IMPS,Failed,Ahmedabad,Branch
TXN000000031,ACC0001377,2026-02-07,Debit,123663.41,Insurance Premium,POS,Success,Bhopal,Mobile
TXN000000032,ACC0000229,2025-08-12,Credit,98540.21,Amazon,ATM,Reversed,Bengaluru,ATM
TXN000000033,ACC0000734,2024-09-27,Credit,69134.83,Zomato,NetBanking,Success,Jaipur,Web
TXN000000034,ACC0001368,2025-06-20,Credit,103800.51,Airtel,Cheque,Success,Hyderabad,POS
TXN000000035,ACC0001387,2024-03-23,Credit,43918.71,Uber,NetBanking,Pending,Ahmedabad,Mobile
TXN000000036,ACC0001198,2025-05-03,Credit,14110.36,Ola,POS,Success,Pune,Web
TXN000000037,ACC0000930,2025-03-03,Debit,138574.75,Zomato,Cheque,Success,Delhi,ATM
TXN000000038,ACC0000934,2025-01-29,Credit,66367.17,Swiggy,IMPS,Success,Chandigarh,Branch
TXN000000039,ACC0000975,2026-01-09,Credit,63505.6,IRCTC,NetBanking,Success,Delhi,Web
TXN000000040,ACC0000869,2024-05-01,Credit,38667.91,Electricity Board,Cheque,Success,Mumbai,POS
TXN000000041,ACC0001273,2024-08-27,Debit,63613.27,BigBasket,NetBanking,Success,Hyderabad,POS
TXN000000042,ACC0001225,2026-02-01,Credit,11109.36,Insurance Premium,UPI,Success,Mumbai,Branch
TXN000000043,ACC0001261,2026-04-20,Debit,81000.94,Zomato,NetBanking,Success,Chandigarh,Mobile
TXN000000044,ACC0000355,2026-03-11,Debit,32336.19,DMart,UPI,Success,Pune,Mobile
TXN000000045,ACC0001347,2024-05-28,Credit,22880.43,Airtel,RTGS,Success,Pune,Mobile
TXN000000046,ACC0001392,2026-01-09,Credit,26396.85,DMart,NEFT,Success,Bengaluru,ATM
TXN000000047,ACC0000741,2025-04-22,Debit,66262.43,IRCTC,NEFT,Success,Pune,Branch
TXN000000048,ACC0001210,2024-09-21,Credit,42821.37,Reliance Digital,NEFT,Success,Bhopal,Web
TXN000000049,ACC0001325,2025-09-21,Credit,65410.0,Airtel,RTGS,Failed,Delhi,Mobile
TXN000000050,ACC0001338,2025-08-22,Debit,99687.64,Insurance Premium,Cheque,Success,Chandigarh,Mobile
TXN000000051,ACC0000657,2025-08-21,Credit,22104.25,Swiggy,Cheque,Success,Jaipur,Branch
TXN000000052,ACC0000132,2024-06-14,Debit,32083.74,Electricity Board,NEFT,Success,Bengaluru,POS
TXN000000053,ACC0000171,2025-05-15,Debit,109686.58,DMart,IMPS,Success,Ahmedabad,POS
TXN000000054,ACC0000505,2026-03-16,Credit,134988.89,Netflix,Cheque,Success,Lucknow,ATM
TXN000000055,ACC0000992,2024-05-20,Credit,4084.41,Electricity Board,Cheque,Success,Lucknow,Branch
TXN000000056,ACC0000710,2026-05-10,Debit,111085.74,BigBasket,POS,Success,Mumbai,Branch
TXN000000057,ACC0000562,2024-06-30,Credit,1602.32,Amazon,IMPS,Success,Jaipur,POS
TXN000000058,ACC0000500,2024-02-05,Debit,83264.99,Reliance Digital,ATM,Success,Mumbai,Web
TXN000000059,ACC0001218,2026-02-18,Credit,59994.77,Jio,UPI,Success,Mumbai,Branch
TXN000000060,ACC0000018,2024-07-29,Debit,107838.05,Uber,NetBanking,Success,Lucknow,Branch
TXN000000061,ACC0000610,2026-01-10,Debit,80493.6,Zomato,RTGS,Success,Kochi,POS
TXN000000062,ACC0000198,2026-04-30,Credit,133305.44,School Fees,IMPS,Success,Delhi,Mobile
TXN000000063,ACC0000643,2025-01-19,Credit,36722.85,Flipkart,NEFT,Success,Bengaluru,Web
TXN000000064,ACC0000006,2025-07-14,Credit,80335.81,IRCTC,POS,Success,Bengaluru,Mobile
TXN000000065,ACC0001127,2024-03-19,Debit,102786.94,Jio,NEFT,Success,Chandigarh,ATM
TXN000000066,ACC0000456,2025-07-04,Credit,1405.19,BigBasket,Cheque,Reversed,Bhopal,ATM
TXN000000067,ACC0001230,2025-08-29,Credit,112375.47,Ola,Cheque,Success,Bengaluru,Mobile
TXN000000068,ACC0000088,2024-09-20,Credit,19453.76,Swiggy,UPI,Pending,Mumbai,ATM
TXN000000069,ACC0000234,2025-01-08,Debit,40385.69,Amazon,POS,Success,Hyderabad,ATM
TXN000000070,ACC0000014,2024-04-22,Debit,12185.0,BigBasket,ATM,Success,Chennai,Branch
TXN000000071,ACC0000532,2025-04-28,Debit,63076.34,Zomato,NetBanking,Success,Jaipur,Mobile
TXN000000072,ACC0001229,2024-03-21,Credit,64196.53,DMart,Cheque,Success,Chandigarh,Mobile
TXN000000073,ACC0001384,2024-05-24,Debit,62320.29,Myntra,RTGS,Success,Jaipur,Mobile
TXN000000074,ACC0000276,2025-01-25,Debit,114748.61,Fuel Station,RTGS,Failed,Pune,Branch
TXN000000075,ACC0001013,2025-07-11,Credit,14811.91,Electricity Board,Cheque,Success,Mumbai,Web
TXN000000076,ACC0000287,2026-01-04,Credit,98308.75,Ola,NetBanking,Pending,Chennai,Branch
TXN000000077,ACC0000801,2025-03-10,Debit,26427.52,Reliance Digital,RTGS,Success,Chandigarh,Mobile
TXN000000078,ACC0000147,2024-04-09,Debit,62443.59,Ola,IMPS,Success,Delhi,Branch
TXN000000079,ACC0000381,2025-09-07,Credit,34053.29,Jio,NetBanking,Success,Jaipur,Branch
TXN000000080,ACC0000982,2024-11-16,Credit,37575.28,Jio,NetBanking,Success,Lucknow,Mobile
TXN000000081,ACC0000444,2024-08-24,Credit,83831.97,Amazon,UPI,Success,Hyderabad,ATM
TXN000000082,ACC0001399,2025-02-15,Debit,96122.43,DMart,NEFT,Success,Ahmedabad,Web
TXN000000083,ACC0000297,2025-08-31,Debit,106056.68,Swiggy,IMPS,Success,Mumbai,ATM
TXN000000084,ACC0000676,2024-02-14,Debit,42059.92,Uber,UPI,Success,Chandigarh,Web
TXN000000085,ACC0001186,2024-06-23,Credit,81505.25,Zomato,IMPS,Success,Delhi,POS
TXN000000086,ACC0000395,2025-04-02,Credit,80494.21,Jio,UPI,Success,Lucknow,Branch
TXN000000087,ACC0001387,2026-03-20,Debit,91942.66,Electricity Board,ATM,Success,Lucknow,Branch
TXN000000088,ACC0001192,2024-02-28,Debit,93661.1,Netflix,IMPS,Failed,Bengaluru,Mobile
TXN000000089,ACC0001005,2025-02-23,Credit,41909.94,Netflix,NetBanking,Success,Bhopal,Mobile
TXN000000090,ACC0001133,2024-01-10,Debit,99453.29,Myntra,NEFT,Success,Chandigarh,Branch
TXN000000091,ACC0000833,2025-02-21,Debit,14252.2,Reliance Digital,NEFT,Success,Lucknow,Branch
TXN000000092,ACC0000722,2026-02-10,Debit,26742.37,Myntra,NEFT,Success,Chennai,POS
TXN000000093,ACC0000841,2025-06-03,Credit,137082.7,BigBasket,NEFT,Success,Hyderabad,POS
TXN000000094,ACC0001209,2024-02-24,Debit,133064.57,Jio,IMPS,Success,Delhi,Web
TXN000000095,ACC0001317,2025-03-12,Debit,74963.68,Insurance Premium,POS,Success,Chandigarh,Web
TXN000000096,ACC0000236,2025-12-08,Credit,120381.24,Reliance Digital,NetBanking,Failed,Hyderabad,Mobile
TXN000000097,ACC0000963,2024-10-01,Debit,79056.17,Flipkart,UPI,Success,Ahmedabad,Mobile
TXN000000098,ACC0000497,2024-12-31,Debit,24543.16,Ola,POS,Success,Pune,POS
TXN000000099,ACC0000461,2026-04-20,Credit,63193.64,DMart,NEFT,Success,Chennai,Web
TXN000000100,ACC0001237,2024-11-25,Debit,21867.71,Netflix,NEFT,Success,Chennai,Mobile
TXN000000101,ACC0001230,2025-07-25,Debit,27679.2,BigBasket,ATM,Success,Jaipur,Web
TXN000000102,ACC0000218,2025-12-24,Debit,148719.08,Reliance Digital,NetBanking,Success,Delhi,POS
TXN000000103,ACC0000810,2025-01-01,Credit,89755.21,Uber,NEFT,Success,Bhopal,POS
TXN000000104,ACC0000516,2025-02-02,Credit,14117.71,Reliance Digital,UPI,Success,Mumbai,ATM
TXN000000105,ACC0001225,2024-12-11,Credit,99238.56,Flipkart,NetBanking,Success,Chennai,Branch
TXN000000106,ACC0001187,2024-10-11,Debit,20384.92,Flipkart,IMPS,Success,Lucknow,ATM
TXN000000107,ACC0001303,2025-10-28,Debit,28267.96,BigBasket,NetBanking,Success,Delhi,Mobile
TXN000000108,ACC0000423,2024-07-15,Credit,93273.92,Myntra,Cheque,Success,Bhopal,Web
TXN000000109,ACC0000248,2024-10-27,Debit,33993.12,Amazon,IMPS,Success,Chandigarh,Web
TXN000000110,ACC0001324,2024-10-03,Credit,127655.05,Swiggy,RTGS,Success,Mumbai,ATM
TXN000000111,ACC0001380,2024-08-28,Debit,27764.88,Myntra,POS,Success,Mumbai,Mobile
TXN000000112,ACC0001115,2024-10-24,Credit,118645.86,Uber,IMPS,Success,Kochi,Branch
TXN000000113,ACC0000319,2024-06-10,Debit,100239.57,Uber,RTGS,Success,Pune,Mobile
TXN000000114,ACC0001231,2025-12-19,Credit,61732.34,BigBasket,NEFT,Success,Kochi,ATM
TXN000000115,ACC0001347,2024-10-07,Credit,50487.64,Amazon,ATM,Success,Lucknow,Branch
TXN000000116,ACC0000395,2024-03-07,Debit,93025.18,Reliance Digital,Cheque,Success,Chennai,Web
TXN000000117,ACC0000615,2025-12-01,Debit,148518.24,Flipkart,IMPS,Success,Delhi,Mobile
TXN000000118,ACC0000056,2024-11-23,Debit,47779.99,Uber,IMPS,Success,Ahmedabad,Web
TXN000000119,ACC0000073,2025-05-06,Debit,26216.2,Jio,NetBanking,Success,Chandigarh,ATM
TXN000000120,ACC0001229,2024-12-21,Credit,25223.75,DMart,RTGS,Success,Delhi,POS
TXN000000121,ACC0000513,2026-04-22,Credit,9860.48,School Fees,RTGS,Success,Mumbai,POS
TXN000000122,ACC0000473,2024-10-14,Debit,45866.29,Zomato,ATM,Success,Jaipur,Web
TXN000000123,ACC0001050,2024-07-14,Debit,40560.33,Reliance Digital,ATM,Success,Kochi,POS
TXN000000124,ACC0000472,2025-04-28,Debit,38640.27,Airtel,NEFT,Failed,Bhopal,POS
TXN000000125,ACC0000781,2026-01-19,Debit,91863.49,Flipkart,NetBanking,Success,Pune,Branch
TXN000000126,ACC0000360,2024-06-29,Credit,109132.39,Jio,IMPS,Success,Pune,Mobile
TXN000000127,ACC0000922,2026-05-02,Credit,51036.87,Amazon,POS,Success,Kochi,POS
TXN000000128,ACC0001273,2025-05-06,Debit,91336.35,Amazon,RTGS,Success,Ahmedabad,ATM
TXN000000129,ACC0000581,2024-04-08,Credit,48441.25,Insurance Premium,NetBanking,Success,Chennai,ATM
TXN000000130,ACC0000256,2024-01-05,Debit,78478.9,Flipkart,POS,Success,Kochi,POS
TXN000000131,ACC0000933,2024-10-18,Credit,41252.01,Jio,NetBanking,Success,Jaipur,ATM
TXN000000132,ACC0000922,2024-09-21,Debit,91713.02,Fuel Station,UPI,Success,Delhi,ATM
TXN000000133,ACC0001316,2025-03-19,Credit,129500.39,Flipkart,NEFT,Success,Ahmedabad,ATM
TXN000000134,ACC0000169,2024-08-08,Credit,144507.92,Electricity Board,ATM,Success,Bhopal,ATM
TXN000000135,ACC0000211,2025-01-02,Credit,72091.15,Myntra,NetBanking,Success,Mumbai,Branch
TXN000000136,ACC0000157,2024-01-21,Debit,75802.22,Swiggy,NetBanking,Success,Chennai,Branch
TXN000000137,ACC0001153,2024-07-28,Debit,102479.44,Ola,RTGS,Pending,Pune,POS
TXN000000138,ACC0001311,2024-12-01,Debit,86343.78,Amazon,ATM,Success,Mumbai,Branch
TXN000000139,ACC0000838,2026-03-20,Credit,106126.05,DMart,Cheque,Success,Mumbai,Web
TXN000000140,ACC0000542,2025-03-21,Debit,119320.95,BigBasket,Cheque,Success,Kochi,POS
TXN000000141,ACC0000344,2024-05-07,Debit,120240.52,Ola,UPI,Success,Pune,Mobile
TXN000000142,ACC0001398,2025-12-23,Debit,80860.65,Insurance Premium,NetBanking,Success,Jaipur,Branch
TXN000000143,ACC0001054,2025-02-25,Debit,10748.16,DMart,ATM,Success,Bhopal,ATM
TXN000000144,ACC0001146,2024-07-19,Debit,100692.42,Netflix,POS,Success,Bhopal,Mobile
TXN000000145,ACC0000045,2024-05-24,Debit,127530.57,Fuel Station,NetBanking,Success,Delhi,POS
TXN000000146,ACC0001329,2025-10-20,Credit,113875.85,Electricity Board,POS,Success,Bhopal,ATM
TXN000000147,ACC0000942,2025-05-01,Credit,56438.37,Flipkart,RTGS,Success,Jaipur,Web
TXN000000148,ACC0000106,2024-08-08,Debit,112116.32,Uber,ATM,Success,Hyderabad,POS
TXN000000149,ACC0000529,2025-01-21,Credit,117143.41,DMart,RTGS,Success,Delhi,Web
TXN000000150,ACC0000402,2025-03-07,Credit,65989.68,BigBasket,Cheque,Success,Bhopal,Mobile
TXN000000151,ACC0000919,2025-04-02,Debit,125737.86,Ola,ATM,Success,Lucknow,ATM
TXN000000152,ACC0000877,2024-05-19,Credit,62050.79,Jio,RTGS,Pending,Lucknow,POS
TXN000000153,ACC0000642,2025-07-21,Debit,76440.57,Insurance Premium,Cheque,Success,Lucknow,Branch
TXN000000154,ACC0001256,2024-09-02,Credit,43063.81,Ola,POS,Success,Pune,Web
TXN000000155,ACC0000914,2026-04-25,Debit,118092.36,Amazon,RTGS,Success,Lucknow,ATM
TXN000000156,ACC0001142,2024-06-02,Debit,3802.08,Amazon,Cheque,Success,Pune,Mobile
TXN000000157,ACC0000632,2024-11-01,Debit,52642.3,BigBasket,NEFT,Success,Lucknow,Web
TXN000000158,ACC0001335,2025-08-25,Debit,8956.28,Flipkart,UPI,Success,Mumbai,POS
TXN000000159,ACC0000569,2025-01-16,Debit,119456.5,Jio,POS,Success,Bengaluru,Web
TXN000000160,ACC0000595,2025-06-21,Debit,51543.62,Netflix,NetBanking,Success,Pune,Web
TXN000000161,ACC0000411,2025-02-25,Debit,19563.55,Myntra,UPI,Success,Chandigarh,Mobile
TXN000000162,ACC0000076,2025-08-07,Credit,4384.03,BigBasket,NEFT,Success,Hyderabad,Branch
TXN000000163,ACC0001198,2026-04-24,Debit,99867.94,Myntra,NEFT,Success,Bhopal,POS
TXN000000164,ACC0001028,2026-05-03,Debit,110352.96,Netflix,NEFT,Success,Delhi,Branch
TXN000000165,ACC0001029,2026-03-17,Credit,144251.16,Uber,NetBanking,Success,Chennai,Branch
TXN000000166,ACC0000964,2025-06-06,Debit,138501.36,Myntra,Cheque,Success,Chennai,ATM
TXN000000167,ACC0001196,2026-03-11,Credit,100698.64,Jio,IMPS,Success,Mumbai,Branch
TXN000000168,ACC0000273,2025-09-06,Credit,51496.86,Airtel,UPI,Success,Ahmedabad,Mobile
TXN000000169,ACC0000566,2025-12-09,Debit,105222.48,DMart,UPI,Success,Ahmedabad,Web
TXN000000170,ACC0001017,2024-01-18,Debit,42901.61,Netflix,ATM,Success,Chandigarh,Web
TXN000000171,ACC0001277,2024-06-08,Debit,26251.54,BigBasket,ATM,Success,Delhi,Web
TXN000000172,ACC0000181,2024-11-11,Debit,56445.66,Insurance Premium,ATM,Success,Hyderabad,Web
TXN000000173,ACC0001131,2025-04-09,Debit,13588.79,Electricity Board,POS,Success,Lucknow,Branch
TXN000000174,ACC0000620,2024-12-01,Debit,449.28,Uber,ATM,Success,Bhopal,Web
TXN000000175,ACC0000463,2024-08-19,Debit,72153.58,Airtel,NEFT,Success,Bhopal,ATM
TXN000000176,ACC0000848,2025-05-23,Credit,130066.26,Insurance Premium,ATM,Success,Delhi,Web
TXN000000177,ACC0000751,2024-01-09,Credit,101163.68,Zomato,POS,Success,Hyderabad,Branch
TXN000000178,ACC0000857,2024-03-21,Debit,80200.03,Airtel,RTGS,Pending,Kochi,POS
TXN000000179,ACC0000747,2025-05-15,Debit,104080.28,School Fees,POS,Success,Ahmedabad,POS
TXN000000180,ACC0000119,2025-12-23,Debit,78401.05,BigBasket,IMPS,Pending,Kochi,ATM
TXN000000181,ACC0000677,2024-04-23,Credit,77848.44,Jio,Cheque,Success,Ahmedabad,Web
TXN000000182,ACC0000441,2024-04-09,Debit,141372.48,DMart,ATM,Success,Ahmedabad,Mobile
TXN000000183,ACC0001122,2026-01-19,Debit,114826.13,Flipkart,RTGS,Pending,Delhi,Branch
TXN000000184,ACC0000789,2025-09-13,Credit,19113.93,IRCTC,ATM,Failed,Delhi,POS
TXN000000185,ACC0000758,2024-09-04,Debit,111697.19,Flipkart,NEFT,Success,Kochi,Branch
TXN000000186,ACC0000317,2024-04-02,Debit,29019.13,BigBasket,ATM,Success,Delhi,Web
TXN000000187,ACC0000511,2024-12-30,Credit,132403.94,Airtel,RTGS,Success,Delhi,Branch
TXN000000188,ACC0000458,2024-11-10,Credit,8879.96,Ola,UPI,Success,Kochi,Mobile
TXN000000189,ACC0001376,2025-09-23,Debit,134060.81,Myntra,POS,Success,Chennai,Branch
TXN000000190,ACC0000655,2025-12-25,Debit,111226.28,Myntra,RTGS,Success,Chennai,Branch
TXN000000191,ACC0000622,2024-07-07,Credit,83776.35,Swiggy,IMPS,Success,Ahmedabad,POS
TXN000000192,ACC0000547,2024-11-10,Credit,8308.71,BigBasket,NEFT,Success,Delhi,ATM
TXN000000193,ACC0001313,2024-01-18,Credit,92398.13,Flipkart,IMPS,Success,Chennai,Web
TXN000000194,ACC0000253,2026-04-24,Credit,21252.23,Electricity Board,IMPS,Success,Delhi,ATM
TXN000000195,ACC0000729,2025-10-27,Debit,60346.16,Jio,NetBanking,Pending,Mumbai,POS
TXN000000196,ACC0000397,2026-03-29,Debit,74510.57,BigBasket,UPI,Success,Ahmedabad,Web
TXN000000197,ACC0000285,2025-10-10,Debit,95140.02,Airtel,Cheque,Success,Bengaluru,POS
TXN000000198,ACC0001285,2024-06-10,Debit,105533.71,Zomato,UPI,Success,Chandigarh,ATM
TXN000000199,ACC0000548,2026-01-22,Debit,92371.91,Zomato,ATM,Success,Kochi,ATM
TXN000000200,ACC0000251,2024-10-29,Credit,52479.74,Netflix,IMPS,Failed,Mumbai,Branch
TXN000000201,ACC0001387,2026-04-02,Debit,132693.37,Amazon,IMPS,Failed,Kochi,ATM
TXN000000202,ACC0000033,2025-07-19,Debit,6635.48,Amazon,IMPS,Success,Bengaluru,Branch
TXN000000203,ACC0000027,2024-11-03,Credit,53823.9,Insurance Premium,ATM,Success,Jaipur,POS
TXN000000204,ACC0000699,2024-09-20,Credit,86956.79,BigBasket,POS,Success,Bhopal,Branch
TXN000000205,ACC0000419,2024-12-03,Credit,135091.98,Airtel,NetBanking,Success,Hyderabad,POS
TXN000000206,ACC0001145,2025-06-06,Debit,76323.43,Fuel Station,NetBanking,Success,Bhopal,POS
TXN000000207,ACC0001277,2025-02-02,Debit,11156.63,Flipkart,NetBanking,Success,Bengaluru,POS
TXN000000208,ACC0000048,2026-03-29,Debit,148843.91,Reliance Digital,NetBanking,Success,Chennai,ATM
TXN000000209,ACC0001207,2024-03-22,Credit,112997.77,Amazon,RTGS,Success,Hyderabad,Branch
TXN000000210,ACC0000249,2025-06-17,Debit,109554.93,Netflix,RTGS,Success,Bhopal,POS
TXN000000211,ACC0000594,2026-02-10,Credit,88388.74,Swiggy,ATM,Success,Ahmedabad,Mobile
TXN000000212,ACC0000741,2025-07-28,Credit,66102.94,DMart,POS,Failed,Bhopal,ATM
TXN000000213,ACC0000972,2025-07-31,Credit,8491.5,Netflix,RTGS,Success,Bhopal,ATM
TXN000000214,ACC0001011,2025-06-06,Credit,83511.15,Electricity Board,NetBanking,Success,Kochi,ATM
TXN000000215,ACC0000680,2025-08-30,Credit,99141.39,IRCTC,POS,Success,Chandigarh,POS
TXN000000216,ACC0001359,2025-06-22,Credit,132891.61,IRCTC,UPI,Success,Delhi,POS
TXN000000217,ACC0000448,2024-02-12,Credit,56058.82,Myntra,POS,Success,Bhopal,Branch
TXN000000218,ACC0001396,2025-02-23,Debit,63389.68,Insurance Premium,UPI,Success,Jaipur,Branch
TXN000000219,ACC0000664,2024-10-02,Debit,32860.69,Uber,POS,Success,Lucknow,Branch
TXN000000220,ACC0000301,2024-07-24,Credit,53644.26,BigBasket,Cheque,Success,Pune,Branch
TXN000000221,ACC0001229,2025-12-17,Debit,138568.68,Insurance Premium,ATM,Success,Lucknow,Branch
TXN000000222,ACC0000179,2025-10-13,Debit,9702.28,Ola,NetBanking,Success,Bengaluru,ATM
TXN000000223,ACC0000909,2026-02-05,Credit,18089.04,Swiggy,Cheque,Success,Pune,Web
TXN000000224,ACC0000550,2024-11-21,Debit,53371.13,BigBasket,POS,Success,Jaipur,Branch
TXN000000225,ACC0000229,2025-09-05,Debit,66117.93,Myntra,RTGS,Failed,Mumbai,Mobile
TXN000000226,ACC0001159,2025-05-31,Debit,52676.81,IRCTC,UPI,Success,Jaipur,Web
TXN000000227,ACC0000078,2025-08-12,Credit,110474.4,Insurance Premium,IMPS,Success,Chennai,Web
TXN000000228,ACC0000259,2026-03-21,Debit,113910.72,Reliance Digital,ATM,Success,Ahmedabad,Web
TXN000000229,ACC0000983,2025-08-04,Credit,83016.92,Electricity Board,ATM,Success,Bhopal,Mobile
TXN000000230,ACC0000170,2024-02-04,Debit,131142.99,Uber,UPI,Success,Hyderabad,Branch
TXN000000231,ACC0001134,2024-12-07,Credit,125783.88,DMart,Cheque,Success,Pune,POS
TXN000000232,ACC0000818,2024-04-16,Credit,112043.28,Airtel,POS,Success,Jaipur,Mobile
TXN000000233,ACC0000707,2025-02-06,Credit,23178.45,Flipkart,NetBanking,Success,Chennai,ATM
TXN000000234,ACC0001297,2024-02-19,Debit,74391.1,Netflix,RTGS,Success,Bhopal,Branch
TXN000000235,ACC0001279,2025-12-08,Debit,16107.48,Zomato,POS,Success,Bhopal,Web
TXN000000236,ACC0001027,2024-03-28,Credit,6433.93,Airtel,POS,Success,Chandigarh,Web
TXN000000237,ACC0001141,2025-05-24,Credit,2990.55,Fuel Station,POS,Success,Kochi,Web
TXN000000238,ACC0000183,2025-03-02,Debit,57972.29,Uber,RTGS,Pending,Pune,ATM
TXN000000239,ACC0000979,2026-02-05,Debit,40085.89,Jio,UPI,Success,Ahmedabad,Mobile
TXN000000240,ACC0000985,2026-03-11,Debit,12373.8,Swiggy,NEFT,Success,Pune,Branch
TXN000000241,ACC0000141,2024-10-10,Credit,101654.05,Ola,NEFT,Success,Ahmedabad,Web
TXN000000242,ACC0000695,2024-10-09,Credit,15091.52,School Fees,IMPS,Success,Chandigarh,Web
TXN000000243,ACC0001060,2025-08-07,Debit,50484.8,Insurance Premium,ATM,Success,Jaipur,Branch
TXN000000244,ACC0000777,2024-02-07,Debit,87373.22,Insurance Premium,UPI,Success,Chennai,POS
TXN000000245,ACC0000540,2025-10-15,Debit,106269.06,Ola,RTGS,Reversed,Jaipur,POS
TXN000000246,ACC0000965,2025-02-24,Debit,15322.2,IRCTC,IMPS,Success,Ahmedabad,Branch
TXN000000247,ACC0001255,2025-02-18,Debit,8112.54,DMart,ATM,Success,Pune,Web
TXN000000248,ACC0000738,2024-02-22,Debit,70019.85,Flipkart,NEFT,Success,Pune,Branch
TXN000000249,ACC0000947,2024-10-21,Debit,34345.99,Uber,RTGS,Success,Chandigarh,Branch
TXN000000250,ACC0001099,2025-01-09,Debit,25983.67,Fuel Station,POS,Success,Delhi,Web
TXN000000251,ACC0000702,2025-10-11,Credit,144962.25,Insurance Premium,ATM,Success,Kochi,Branch
TXN000000252,ACC0001329,2025-11-12,Credit,32138.8,Netflix,IMPS,Success,Bengaluru,POS
TXN000000253,ACC0000752,2024-01-19,Debit,52460.24,Airtel,Cheque,Success,Chennai,ATM
TXN000000254,ACC0000742,2025-02-22,Debit,14703.27,Jio,UPI,Success,Kochi,Branch
TXN000000255,ACC0001287,2025-02-24,Debit,116515.36,IRCTC,RTGS,Success,Bhopal,Branch
TXN000000256,ACC0000910,2024-04-14,Credit,2785.52,Uber,NetBanking,Success,Lucknow,Mobile
TXN000000257,ACC0000522,2025-08-27,Debit,73930.37,Insurance Premium,RTGS,Pending,Delhi,POS
TXN000000258,ACC0000716,2024-02-12,Debit,85807.25,Electricity Board,RTGS,Success,Chennai,Branch
TXN000000259,ACC0000825,2024-07-14,Credit,69248.85,Jio,NEFT,Success,Lucknow,Branch
TXN000000260,ACC0001262,2024-02-10,Debit,98875.07,Swiggy,Cheque,Success,Jaipur,ATM
TXN000000261,ACC0001174,2024-02-04,Debit,40493.06,Insurance Premium,NetBanking,Success,Bengaluru,POS
TXN000000262,ACC0000641,2025-12-21,Credit,14725.13,Zomato,NEFT,Success,Pune,POS
