loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_status,collateral_required
LOAN0000116,CUST000444,Education Loan,177658,15.66,240,2426.47,2020-05-15,Active,No
LOAN0000117,CUST000061,Business Loan,6997378,9.48,84,114293.36,2018-10-12,Active,Yes
LOAN0000118,CUST000138,Home Loan,5087007,7.54,84,78126.38,2021-03-01,Active,Yes
LOAN0000119,CUST000117,Home Loan,3891425,7.88,24,175785.71,2020-12-13,Closed,Yes
LOAN0000120,CUST000667,Education Loan,4294500,7.49,180,39786.15,2019-10-24,Active,Yes
LOAN0000121,CUST000623,Home Loan,6562065,11.61,36,216734.15,2018-01-09,Active,Yes
LOAN0000122,CUST000489,Personal Loan,473396,18.3,48,13980.33,2020-10-30,Closed,Yes
LOAN0000123,CUST000437,Personal Loan,4812091,13.8,48,131015.22,2024-07-22,Active,Yes
LOAN0000124,CUST000100,Gold Loan,762781,8.98,180,7727.56,2022-09-26,Active,No
LOAN0000125,CUST000133,Home Loan,5515006,11.02,84,94488.34,2023-12-31,Active,Yes
LOAN0000126,CUST000870,Home Loan,7418566,14.85,60,175903.59,2018-12-20,Active,No
LOAN0000127,CUST000419,Business Loan,6357966,17.46,24,315759.33,2020-03-18,Closed,Yes
LOAN0000128,CUST000009,Home Loan,6928404,13.13,12,619248.82,2023-12-07,Under Review,Yes
LOAN0000129,CUST000907,Personal Loan,3481957,9.5,180,36359.45,2018-04-25,Under Review,No
LOAN0000130,CUST000801,Home Loan,3655543,8.94,48,90864.23,2021-10-16,Active,No
LOAN0000131,CUST000818,Education Loan,1357435,13.68,240,16565.43,2023-07-17,Active,Yes
LOAN0000132,CUST000652,Business Loan,219734,8.66,12,19181.44,2023-09-14,Closed,Yes
LOAN0000133,CUST000381,Car Loan,2693894,16.81,240,39125.29,2021-04-16,Active,Yes
LOAN0000134,CUST000761,Education Loan,1410367,12.44,240,15964.14,2025-11-28,Active,No
LOAN0000135,CUST000825,Personal Loan,2167622,8.05,240,18198.37,2025-10-14,Active,No
LOAN0000136,CUST000148,Personal Loan,2897344,12.13,48,76483.25,2021-06-06,Active,No
LOAN0000137,CUST000160,Education Loan,4051231,12.81,240,46915.95,2025-06-01,Active,Yes
LOAN0000138,CUST000679,Home Loan,2676877,12.63,48,71323.3,2018-03-19,Closed,No
LOAN0000139,CUST000562,Personal Loan,2299485,16.18,12,208830.17,2021-07-13,Active,Yes
LOAN0000140,CUST000530,Education Loan,1666285,12.9,84,30222.48,2021-02-27,Active,No
LOAN0000141,CUST000958,Business Loan,4078368,11.36,12,361138.14,2023-05-09,Active,Yes
LOAN0000142,CUST000406,Business Loan,1471294,8.68,240,12936.34,2021-06-26,Active,Yes
LOAN0000143,CUST000181,Gold Loan,797963,9.79,12,70075.71,2021-10-12,Active,No
LOAN0000144,CUST000627,Gold Loan,1407614,12.61,36,47164.09,2020-08-07,Active,Yes
LOAN0000145,CUST000640,Car Loan,1694316,10.16,48,43102.54,2025-10-21,Active,Yes
LOAN0000146,CUST000266,Education Loan,3485318,9.69,60,73522.2,2021-02-13,Active,Yes
LOAN0000147,CUST000833,Business Loan,1378072,11.58,24,64600.67,2023-09-11,Active,No
LOAN0000148,CUST000506,Business Loan,1479116,12.75,84,26707.4,2024-05-21,Active,No
LOAN0000149,CUST000617,Business Loan,3239519,7.24,180,29554.11,2023-04-28,Active,No
LOAN0000150,CUST000446,Personal Loan,1411109,15.51,180,20244.92,2018-10-17,Active,No
LOAN0000151,CUST000269,Gold Loan,7358637,8.56,240,64139.68,2018-04-06,Active,No
LOAN0000152,CUST000544,Personal Loan,4575295,13.99,24,219651.49,2021-02-04,Active,Yes
LOAN0000153,CUST000671,Business Loan,5240067,10.45,24,242892.3,2023-05-17,Active,No
LOAN0000154,CUST000380,Business Loan,795701,14.43,240,10144.17,2022-06-16,Active,Yes
LOAN0000155,CUST000470,Education Loan,3482614,14.46,48,95973.13,2025-06-21,Active,Yes
LOAN0000156,CUST000792,Education Loan,6181984,16.92,36,220158.54,2025-02-13,Active,No
LOAN0000157,CUST000366,Business Loan,6652333,15.23,24,323276.75,2024-01-24,Defaulted,No
LOAN0000158,CUST000238,Personal Loan,6812086,10.87,60,147670.0,2021-08-06,Closed,No
LOAN0000159,CUST000914,Home Loan,3651701,14.74,180,50460.01,2022-11-02,Active,Yes
LOAN0000160,CUST000227,Gold Loan,4014590,13.6,24,191994.29,2023-10-20,Active,No
LOAN0000161,CUST000615,Business Loan,4204717,7.62,12,365023.38,2021-06-21,Closed,No
LOAN0000162,CUST000573,Personal Loan,1078199,9.86,60,22834.34,2025-09-09,Defaulted,No
LOAN0000163,CUST000800,Gold Loan,3029206,13.57,48,82125.61,2022-03-06,Active,No
LOAN0000164,CUST000577,Education Loan,6409508,8.14,84,100347.61,2021-09-04,Active,Yes
LOAN0000165,CUST000191,Home Loan,5894310,10.6,48,151199.08,2025-03-13,Defaulted,Yes
LOAN0000166,CUST000835,Business Loan,3988318,16.39,24,196024.48,2018-11-03,Active,No
LOAN0000167,CUST000652,Business Loan,7310825,13.32,48,197294.25,2025-04-21,Closed,Yes
LOAN0000168,CUST000224,Car Loan,531337,12.9,48,14228.08,2019-10-04,Defaulted,Yes
LOAN0000169,CUST000802,Personal Loan,1961609,14.82,24,94944.17,2026-03-08,Active,No
LOAN0000170,CUST000676,Home Loan,509130,12.48,60,11449.2,2022-04-18,Active,No
LOAN0000171,CUST000217,Business Loan,6649855,14.24,36,228052.2,2018-02-12,Closed,No
LOAN0000172,CUST000125,Home Loan,518021,10.24,240,5081.66,2022-07-20,Active,Yes
LOAN0000173,CUST000635,Gold Loan,2687220,12.36,180,32876.14,2023-05-18,Active,Yes
LOAN0000174,CUST000468,Home Loan,4367457,8.07,12,380059.59,2019-12-30,Active,Yes
LOAN0000175,CUST000556,Car Loan,6404206,18.47,36,233040.14,2020-03-21,Active,No
LOAN0000176,CUST000802,Personal Loan,4167258,16.47,84,83889.74,2021-08-25,Active,Yes
LOAN0000177,CUST000496,Home Loan,4971259,8.15,120,60709.83,2018-11-08,Active,No
LOAN0000178,CUST000983,Education Loan,302543,14.07,84,5681.36,2022-06-08,Active,Yes
LOAN0000179,CUST000821,Gold Loan,4931420,15.66,240,67353.86,2020-06-11,Active,Yes
LOAN0000180,CUST000207,Personal Loan,5066754,16.83,12,461703.37,2023-03-23,Active,No
LOAN0000181,CUST000894,Gold Loan,6147922,8.17,240,52076.04,2020-02-20,Active,Yes
LOAN0000182,CUST000021,Gold Loan,1149882,15.78,120,19104.68,2021-04-17,Active,Yes
LOAN0000183,CUST000299,Business Loan,4446861,16.44,12,404394.01,2025-04-11,Active,Yes
LOAN0000184,CUST000623,Home Loan,6099464,8.79,24,278065.11,2019-02-14,Active,Yes
LOAN0000185,CUST000303,Car Loan,6981393,17.34,24,346317.5,2020-02-13,Under Review,Yes
LOAN0000186,CUST000432,Education Loan,1202244,17.0,240,17634.52,2025-05-01,Defaulted,No
LOAN0000187,CUST000873,Personal Loan,7341369,7.2,180,66809.89,2026-01-07,Closed,Yes
LOAN0000188,CUST000648,Personal Loan,2488367,17.5,48,72447.25,2021-12-25,Active,Yes
LOAN0000189,CUST000103,Education Loan,6126414,15.01,24,297078.39,2023-01-17,Active,No
LOAN0000190,CUST000963,Gold Loan,809005,13.58,240,9814.32,2020-09-09,Active,No
LOAN0000191,CUST000564,Personal Loan,1623860,9.13,240,14746.33,2023-05-01,Closed,No
LOAN0000192,CUST000822,Personal Loan,3827435,12.46,12,340887.15,2022-06-19,Active,Yes
LOAN0000193,CUST000406,Gold Loan,1046221,12.66,36,35080.23,2023-10-26,Active,No
LOAN0000194,CUST000457,Education Loan,2044799,17.5,180,32196.96,2025-12-08,Active,Yes
LOAN0000195,CUST000791,Home Loan,5028292,11.1,180,57467.56,2021-06-09,Closed,Yes
LOAN0000196,CUST000339,Business Loan,406462,13.61,180,5306.94,2018-09-01,Active,Yes
LOAN0000197,CUST000903,Business Loan,6458606,8.22,84,101374.58,2023-11-28,Active,No
LOAN0000198,CUST000367,Personal Loan,2234476,16.65,60,55112.84,2022-07-27,Active,No
LOAN0000199,CUST000345,Personal Loan,827234,7.37,36,25682.76,2019-02-27,Active,No
LOAN0000200,CUST000220,Gold Loan,4635988,14.44,36,159439.61,2018-04-14,Under Review,No
LOAN0000201,CUST000494,Home Loan,6921202,14.18,24,332895.71,2022-07-28,Active,Yes
LOAN0000202,CUST000805,Personal Loan,3304347,13.5,180,42900.95,2021-10-21,Active,No
LOAN0000203,CUST000223,Personal Loan,7170557,17.18,36,256292.74,2023-06-04,Active,No
LOAN0000204,CUST000846,Car Loan,4298286,9.13,24,196622.56,2026-02-11,Active,Yes
LOAN0000205,CUST000993,Education Loan,4089622,12.07,84,72346.19,2019-05-27,Active,Yes
LOAN0000206,CUST000996,Business Loan,6925250,13.57,120,105742.66,2025-10-15,Active,Yes
LOAN0000207,CUST000800,Business Loan,1040330,14.36,84,19703.27,2024-10-04,Closed,No
LOAN0000208,CUST000998,Business Loan,729681,17.78,60,18441.88,2022-06-10,Active,No
LOAN0000209,CUST000781,Personal Loan,3871894,11.26,12,342674.16,2023-02-21,Active,Yes
LOAN0000210,CUST000494,Gold Loan,4426125,9.16,24,202531.46,2024-08-09,Closed,No
LOAN0000211,CUST000616,Business Loan,1141978,14.37,12,102733.83,2020-10-21,Active,No
LOAN0000212,CUST000223,Business Loan,2124664,8.22,60,43304.58,2024-01-23,Active,Yes
LOAN0000213,CUST000734,Business Loan,4003730,15.54,12,362390.89,2022-07-05,Closed,Yes
LOAN0000214,CUST000687,Car Loan,3937028,13.98,240,48900.58,2021-03-31,Closed,Yes
LOAN0000215,CUST000670,Personal Loan,6602184,11.69,60,145829.78,2023-05-25,Closed,No
LOAN0000216,CUST000980,Business Loan,4355715,7.26,24,195530.4,2019-05-30,Active,Yes
LOAN0000217,CUST000532,Gold Loan,78764,12.4,12,7012.83,2018-07-06,Active,No
LOAN0000218,CUST000531,Car Loan,939179,16.38,12,85381.49,2018-11-10,Active,No
LOAN0000219,CUST000110,Education Loan,7233821,12.36,240,81473.53,2020-10-10,Active,Yes
LOAN0000220,CUST000881,Education Loan,5213903,15.38,12,471533.5,2020-09-26,Active,Yes
LOAN0000221,CUST000078,Home Loan,817886,17.91,24,40796.67,2021-08-10,Active,Yes
LOAN0000222,CUST000524,Business Loan,1302803,13.64,36,44299.26,2022-08-08,Active,Yes
LOAN0000223,CUST000945,Education Loan,1264274,8.08,12,110023.98,2020-12-06,Closed,No
LOAN0000224,CUST000920,Home Loan,2428801,13.02,180,30762.18,2021-04-04,Active,No
LOAN0000225,CUST000101,Home Loan,5497477,10.84,24,255817.34,2019-12-11,Active,No
LOAN0000226,CUST000422,Education Loan,4035234,8.73,12,352382.13,2021-08-26,Active,No
LOAN0000227,CUST000355,Car Loan,6980923,15.02,36,242064.37,2018-01-18,Active,Yes
LOAN0000228,CUST000471,Car Loan,3406411,17.53,12,311538.3,2022-10-07,Closed,No
LOAN0000229,CUST000794,Education Loan,2162501,7.88,12,187992.6,2025-02-25,Active,No
LOAN0000230,CUST000014,Gold Loan,4675539,16.35,48,133345.69,2026-03-29,Closed,Yes
LOAN0000231,CUST000077,Car Loan,7091016,14.86,120,113795.7,2018-06-17,Closed,No
LOAN0000232,CUST000817,Car Loan,2634476,14.78,120,42149.08,2019-07-26,Active,Yes
LOAN0000233,CUST000268,Education Loan,4571127,14.43,48,125901.03,2023-11-13,Defaulted,No
LOAN0000234,CUST000258,Education Loan,3799839,15.36,120,62145.09,2018-05-13,Active,Yes
LOAN0000235,CUST000377,Education Loan,7146116,17.37,48,207571.96,2021-09-02,Active,No
LOAN0000236,CUST000272,Car Loan,2271718,13.48,36,77069.43,2021-06-30,Active,No
LOAN0000237,CUST000471,Home Loan,4958611,13.23,180,63490.73,2019-06-24,Active,Yes
LOAN0000238,CUST000603,Home Loan,1820002,8.55,240,15852.04,2024-01-06,Active,No
LOAN0000239,CUST000374,Business Loan,5521913,16.71,12,502865.07,2025-09-09,Active,Yes
LOAN0000240,CUST000787,Business Loan,516256,16.95,240,7552.82,2023-12-09,Active,Yes
LOAN0000241,CUST000175,Gold Loan,3062277,17.24,36,109544.65,2023-08-30,Active,No
LOAN0000242,CUST000655,Gold Loan,7389890,10.2,60,157741.54,2023-06-01,Closed,No
LOAN0000243,CUST000672,Home Loan,7498944,10.55,84,126632.77,2023-12-13,Active,Yes
LOAN0000244,CUST000311,Education Loan,493076,13.71,84,9161.44,2019-01-15,Under Review,No
LOAN0000245,CUST000076,Gold Loan,7107186,12.19,60,158778.66,2019-12-27,Closed,No
LOAN0000246,CUST000042,Business Loan,1217941,7.73,12,105794.79,2018-12-20,Closed,No
LOAN0000247,CUST000174,Personal Loan,4578973,17.66,12,419059.64,2026-03-13,Active,No
LOAN0000248,CUST000470,Home Loan,3093864,9.09,120,39342.62,2020-09-28,Closed,No
LOAN0000249,CUST000964,Business Loan,6908179,12.66,240,79267.15,2024-07-22,Active,No
LOAN0000250,CUST000043,Business Loan,1694567,16.37,60,41542.46,2023-04-19,Active,Yes
LOAN0000251,CUST000475,Education Loan,4874537,11.32,48,126743.81,2022-06-21,Active,Yes
LOAN0000252,CUST000191,Personal Loan,4477724,13.65,240,54546.86,2023-03-31,Active,Yes
LOAN0000253,CUST000862,Education Loan,4907302,12.63,48,130751.23,2022-07-22,Active,Yes
LOAN0000254,CUST000218,Car Loan,1497181,16.43,84,30104.94,2024-12-11,Active,No
LOAN0000255,CUST000428,Car Loan,5055720,15.79,84,99813.29,2021-07-22,Under Review,Yes
LOAN0000256,CUST000059,Business Loan,3017329,9.62,240,28362.33,2021-04-18,Active,No
LOAN0000257,CUST000009,Car Loan,4015641,17.58,48,117079.98,2026-01-28,Active,No
LOAN0000258,CUST000138,Gold Loan,4927238,16.12,24,241535.51,2024-07-08,Active,No
LOAN0000259,CUST000954,Car Loan,4545426,16.31,36,160500.23,2025-01-03,Active,Yes
LOAN0000260,CUST000659,Gold Loan,324294,17.06,240,4771.55,2018-05-23,Active,No
LOAN0000261,CUST000791,Personal Loan,3327735,17.77,36,119921.99,2025-12-25,Active,Yes
LOAN0000262,CUST000724,Home Loan,1981756,7.66,24,89322.46,2022-07-26,Active,Yes
LOAN0000263,CUST000073,Car Loan,3386872,14.95,84,65260.66,2022-04-13,Active,No
LOAN0000264,CUST000236,Car Loan,5632502,8.76,12,491943.97,2024-05-07,Closed,Yes
LOAN0000265,CUST000311,Business Loan,5244470,18.41,180,86009.63,2022-01-18,Active,No
LOAN0000266,CUST000086,Home Loan,4969195,13.66,180,65045.6,2021-09-26,Closed,Yes
LOAN0000267,CUST000728,Personal Loan,4370685,17.6,180,69132.24,2024-08-07,Active,Yes
LOAN0000268,CUST000188,Personal Loan,2959394,11.78,24,139005.1,2026-03-19,Closed,No
LOAN0000269,CUST000108,Home Loan,4216466,8.91,120,53207.25,2020-10-31,Active,Yes
LOAN0000270,CUST000610,Personal Loan,6390816,17.59,36,229731.0,2019-07-18,Active,No
LOAN0000271,CUST000633,Car Loan,1775135,12.42,120,25900.88,2019-07-27,Active,No
LOAN0000272,CUST000420,Car Loan,4413289,12.73,36,148127.85,2023-02-24,Active,No
LOAN0000273,CUST000237,Car Loan,6982896,16.35,120,118500.29,2021-12-28,Active,Yes
LOAN0000274,CUST000215,Gold Loan,3205939,17.82,12,293645.9,2022-08-31,Active,No
LOAN0000275,CUST000465,Gold Loan,7067151,12.95,36,237950.08,2024-02-24,Active,Yes
LOAN0000276,CUST000158,Business Loan,4540341,17.04,120,79025.18,2019-07-24,Active,Yes
LOAN0000277,CUST000385,Car Loan,7421130,12.07,84,131281.2,2018-08-16,Active,No
LOAN0000278,CUST000499,Business Loan,3426665,16.14,24,168009.49,2023-01-17,Active,No
LOAN0000279,CUST000751,Car Loan,7297988,11.75,60,161419.24,2024-01-12,Active,Yes
LOAN0000280,CUST000090,Personal Loan,2768825,11.73,180,32751.12,2020-08-25,Active,No
LOAN0000281,CUST000133,Education Loan,4113768,10.56,84,69489.62,2023-02-02,Active,Yes
LOAN0000282,CUST000582,Gold Loan,5365857,11.84,24,252188.78,2023-09-30,Active,Yes
LOAN0000283,CUST000758,Car Loan,4904147,8.06,24,221935.51,2022-05-01,Active,Yes
LOAN0000284,CUST000840,Education Loan,3539369,13.09,240,41693.52,2019-06-16,Active,Yes
LOAN0000285,CUST000931,Car Loan,3019190,12.43,60,67818.1,2024-07-18,Active,Yes
