card_id,customer_id,card_type,credit_limit,available_limit,outstanding_balance,issue_date,expiry_date,card_status
CARD0000138,CUST000840,Business,100000,34256.0,65744.0,2018-12-17,2031-08-06,Active
CARD0000139,CUST000438,Classic,150000,102237.55,47762.45,2019-04-16,2031-12-07,Closed
CARD0000140,CUST000977,Gold,100000,92814.88,7185.12,2017-05-09,2031-10-06,Active
CARD0000141,CUST000764,Gold,150000,94324.1,55675.9,2017-07-13,2031-06-14,Active
CARD0000142,CUST000865,Signature,150000,123773.77,26226.23,2018-12-12,2028-04-30,Active
CARD0000143,CUST000130,Gold,300000,100942.65,199057.35,2017-02-10,2030-06-21,Active
CARD0000144,CUST000084,Platinum,75000,55982.78,19017.22,2017-12-24,2030-09-20,Active
CARD0000145,CUST000346,Signature,300000,228630.15,71369.85,2021-03-13,2030-07-06,Active
CARD0000146,CUST000868,Business,150000,70406.14,79593.86,2023-07-15,2029-10-21,Active
CARD0000147,CUST000001,Gold,200000,34337.97,165662.03,2022-03-29,2028-05-24,Active
CARD0000148,CUST000677,Business,150000,92728.5,57271.5,2023-04-26,2031-06-26,Active
CARD0000149,CUST000954,Gold,150000,147362.19,2637.81,2020-04-30,2029-10-18,Active
CARD0000150,CUST000042,Platinum,50000,49007.43,992.57,2019-01-14,2027-12-08,Active
CARD0000151,CUST000123,Gold,100000,53787.21,46212.79,2021-08-15,2028-11-12,Blocked
CARD0000152,CUST000268,Business,100000,81072.78,18927.22,2018-10-18,2031-11-18,Active
CARD0000153,CUST000385,Signature,100000,78815.6,21184.4,2025-03-23,2029-05-09,Closed
CARD0000154,CUST000145,Platinum,75000,29835.96,45164.04,2018-02-27,2030-10-08,Active
CARD0000155,CUST000265,Signature,500000,413732.37,86267.63,2018-04-27,2027-08-29,Active
CARD0000156,CUST000697,Platinum,50000,45282.31,4717.69,2019-03-27,2028-02-22,Active
CARD0000157,CUST000249,Platinum,300000,282748.65,17251.35,2025-10-21,2030-10-01,Blocked
CARD0000158,CUST000292,Business,75000,35574.7,39425.3,2019-06-02,2030-07-07,Active
CARD0000159,CUST000332,Gold,75000,23800.29,51199.71,2021-09-13,2028-01-27,Active
CARD0000160,CUST000369,Business,150000,36999.17,113000.83,2020-01-15,2027-03-03,Closed
CARD0000161,CUST000587,Business,300000,296901.17,3098.83,2025-05-23,2031-09-18,Active
CARD0000162,CUST000018,Signature,75000,21507.41,53492.59,2017-09-30,2028-03-10,Active
CARD0000163,CUST000811,Signature,50000,28789.98,21210.02,2022-08-24,2028-05-26,Active
CARD0000164,CUST000102,Signature,75000,28268.1,46731.9,2018-03-25,2030-08-31,Active
CARD0000165,CUST000838,Signature,75000,46003.66,28996.34,2023-06-04,2028-03-03,Active
CARD0000166,CUST000897,Classic,50000,12861.42,37138.58,2023-11-02,2031-05-18,Active
CARD0000167,CUST000764,Gold,100000,29785.88,70214.12,2020-10-04,2029-05-05,Active
CARD0000168,CUST000559,Signature,300000,67189.24,232810.76,2022-05-12,2028-09-06,Active
CARD0000169,CUST000885,Platinum,200000,107441.09,92558.91,2019-11-02,2027-11-04,Active
CARD0000170,CUST000205,Classic,50000,5408.99,44591.01,2021-02-06,2030-10-23,Active
CARD0000171,CUST000361,Platinum,75000,48919.23,26080.77,2021-01-04,2029-09-24,Active
CARD0000172,CUST000765,Classic,75000,59213.83,15786.17,2021-03-01,2031-11-30,Active
CARD0000173,CUST000061,Classic,100000,26838.75,73161.25,2017-08-07,2027-04-29,Active
CARD0000174,CUST000079,Gold,50000,17332.57,32667.43,2020-07-28,2028-02-26,Active
CARD0000175,CUST000550,Signature,50000,39414.32,10585.68,2019-03-08,2030-10-28,Active
CARD0000176,CUST000481,Signature,500000,278270.4,221729.6,2019-06-23,2028-05-09,Active
CARD0000177,CUST000642,Classic,150000,48961.16,101038.84,2024-07-01,2028-08-17,Active
CARD0000178,CUST000201,Business,300000,164026.49,135973.51,2018-01-12,2030-03-24,Active
CARD0000179,CUST000868,Business,100000,74001.47,25998.53,2019-06-03,2027-04-14,Active
CARD0000180,CUST000729,Signature,500000,93459.36,406540.64,2019-10-03,2030-09-09,Closed
CARD0000181,CUST000746,Gold,75000,28518.15,46481.85,2017-06-05,2029-06-05,Expired
CARD0000182,CUST000068,Business,150000,40261.77,109738.23,2018-12-27,2028-08-25,Expired
CARD0000183,CUST000880,Classic,50000,46132.04,3867.96,2025-12-07,2031-03-09,Active
CARD0000184,CUST000535,Business,500000,183321.92,316678.08,2021-09-25,2030-07-29,Active
CARD0000185,CUST000067,Signature,150000,115157.57,34842.43,2025-07-11,2030-03-28,Active
CARD0000186,CUST000272,Gold,100000,83417.97,16582.03,2025-09-15,2027-05-07,Active
CARD0000187,CUST000916,Platinum,50000,24342.62,25657.38,2024-12-24,2027-05-31,Active
CARD0000188,CUST000254,Classic,100000,25181.28,74818.72,2022-12-31,2031-07-23,Active
CARD0000189,CUST000643,Classic,500000,136442.32,363557.68,2022-02-21,2029-02-17,Active
CARD0000190,CUST000115,Signature,300000,85744.72,214255.28,2023-10-01,2031-05-27,Blocked
CARD0000191,CUST000641,Platinum,100000,76637.12,23362.88,2023-06-12,2030-08-02,Active
CARD0000192,CUST000904,Business,50000,36828.97,13171.03,2022-10-04,2030-08-14,Active
CARD0000193,CUST000209,Platinum,100000,41511.17,58488.83,2018-10-20,2027-09-26,Active
CARD0000194,CUST000189,Platinum,150000,108446.96,41553.04,2019-03-26,2031-12-10,Active
CARD0000195,CUST000148,Gold,300000,252698.11,47301.89,2025-12-03,2027-09-21,Active
CARD0000196,CUST000604,Signature,50000,31971.62,18028.38,2026-01-16,2027-01-11,Closed
CARD0000197,CUST000990,Platinum,200000,60199.8,139800.2,2017-06-30,2031-09-22,Active
CARD0000198,CUST000827,Classic,75000,29708.15,45291.85,2023-03-03,2031-11-19,Active
CARD0000199,CUST000662,Business,75000,74233.34,766.66,2020-04-23,2027-06-05,Active
CARD0000200,CUST000366,Business,500000,387156.41,112843.59,2018-05-16,2027-07-03,Active
CARD0000201,CUST000460,Business,75000,47359.62,27640.38,2018-11-22,2029-08-28,Active
CARD0000202,CUST000992,Platinum,150000,128850.13,21149.87,2023-05-23,2028-08-24,Active
CARD0000203,CUST000845,Business,500000,78623.52,421376.48,2019-02-12,2029-04-04,Active
CARD0000204,CUST000394,Classic,75000,59848.09,15151.91,2020-02-08,2028-09-07,Active
CARD0000205,CUST000705,Business,200000,24431.45,175568.55,2020-08-30,2029-05-15,Active
CARD0000206,CUST000246,Platinum,50000,18676.97,31323.03,2018-12-24,2031-01-20,Expired
CARD0000207,CUST000733,Platinum,75000,58876.37,16123.63,2024-03-15,2028-06-13,Active
CARD0000208,CUST000910,Signature,200000,33541.51,166458.49,2019-07-16,2031-01-01,Active
CARD0000209,CUST000800,Platinum,500000,259529.91,240470.09,2017-12-26,2031-11-05,Active
CARD0000210,CUST000503,Classic,150000,111668.68,38331.32,2025-10-09,2031-08-22,Active
CARD0000211,CUST000433,Signature,100000,95685.36,4314.64,2022-07-07,2029-06-22,Active
CARD0000212,CUST000806,Platinum,100000,56053.73,43946.27,2026-02-09,2031-10-10,Active
CARD0000213,CUST000486,Platinum,300000,256036.24,43963.76,2023-08-15,2027-09-13,Active
CARD0000214,CUST000572,Gold,75000,49381.22,25618.78,2017-03-15,2029-10-30,Active
CARD0000215,CUST000806,Platinum,75000,48100.12,26899.88,2026-03-30,2030-07-02,Active
CARD0000216,CUST000824,Platinum,300000,175825.97,124174.03,2022-05-30,2028-03-04,Active
CARD0000217,CUST000692,Platinum,100000,39335.88,60664.12,2017-08-13,2031-08-19,Active
CARD0000218,CUST000858,Classic,75000,41870.02,33129.98,2025-08-26,2031-12-15,Active
CARD0000219,CUST000272,Signature,500000,455593.37,44406.63,2025-08-08,2031-12-04,Closed
CARD0000220,CUST000079,Classic,150000,32245.89,117754.11,2019-09-05,2027-10-09,Expired
CARD0000221,CUST000624,Signature,500000,192465.62,307534.38,2023-09-18,2027-04-07,Active
CARD0000222,CUST000063,Platinum,300000,294185.06,5814.94,2024-07-18,2027-12-09,Active
CARD0000223,CUST000333,Business,200000,109983.38,90016.62,2020-04-27,2029-06-27,Active
CARD0000224,CUST000671,Signature,100000,97974.55,2025.45,2025-06-29,2028-02-16,Active
CARD0000225,CUST000360,Gold,200000,131248.35,68751.65,2022-11-28,2028-12-17,Active
CARD0000226,CUST000172,Classic,300000,234144.62,65855.38,2023-07-05,2027-06-15,Active
CARD0000227,CUST000961,Signature,300000,228250.58,71749.42,2025-02-04,2031-08-04,Active
CARD0000228,CUST000578,Gold,200000,168376.0,31624.0,2019-10-24,2027-03-23,Active
CARD0000229,CUST000895,Platinum,500000,80463.53,419536.47,2018-11-19,2027-08-21,Expired
CARD0000230,CUST000154,Platinum,50000,42689.01,7310.99,2019-09-17,2028-03-16,Active
CARD0000231,CUST000972,Business,50000,41028.89,8971.11,2018-12-02,2028-06-25,Active
CARD0000232,CUST000744,Signature,75000,51894.89,23105.11,2021-05-20,2027-11-01,Active
CARD0000233,CUST000594,Business,200000,28793.48,171206.52,2023-03-09,2028-03-21,Active
CARD0000234,CUST000996,Gold,150000,20875.2,129124.8,2025-03-03,2027-12-22,Active
CARD0000235,CUST000834,Signature,500000,266758.6,233241.4,2024-11-09,2027-01-11,Active
CARD0000236,CUST000538,Signature,100000,33441.05,66558.95,2022-12-27,2031-06-08,Active
CARD0000237,CUST000022,Business,300000,75388.11,224611.89,2022-08-15,2028-08-25,Active
CARD0000238,CUST000352,Classic,50000,11111.22,38888.78,2023-10-01,2030-07-21,Active
CARD0000239,CUST000182,Business,500000,233034.36,266965.64,2022-10-15,2030-07-01,Active
CARD0000240,CUST000416,Business,500000,277539.61,222460.39,2026-03-17,2027-10-26,Active
CARD0000241,CUST000494,Classic,300000,290864.12,9135.88,2025-04-13,2031-07-19,Closed
CARD0000242,CUST000430,Classic,500000,308192.44,191807.56,2020-11-17,2031-01-06,Active
CARD0000243,CUST000001,Signature,150000,100682.63,49317.37,2021-10-12,2031-02-17,Active
CARD0000244,CUST000956,Classic,200000,124754.97,75245.03,2018-04-10,2027-12-11,Active
CARD0000245,CUST000602,Gold,75000,65588.84,9411.16,2017-05-06,2029-10-18,Active
CARD0000246,CUST000599,Signature,75000,24250.08,50749.92,2022-05-12,2030-02-09,Active
CARD0000247,CUST000187,Signature,300000,116022.41,183977.59,2021-09-02,2030-07-16,Active
CARD0000248,CUST000829,Platinum,50000,29852.5,20147.5,2017-06-19,2031-05-21,Active
CARD0000249,CUST000542,Classic,50000,27743.88,22256.12,2025-08-29,2031-05-14,Active
CARD0000250,CUST000549,Platinum,100000,12947.19,87052.81,2018-07-05,2031-08-09,Closed
CARD0000251,CUST000321,Platinum,500000,422586.16,77413.84,2018-03-12,2028-07-19,Active
CARD0000252,CUST000658,Classic,50000,29083.9,20916.1,2020-07-04,2030-04-23,Active
CARD0000253,CUST000245,Classic,500000,170428.05,329571.95,2026-03-05,2030-01-24,Active
CARD0000254,CUST000719,Classic,75000,19897.15,55102.85,2023-01-03,2029-04-26,Active
CARD0000255,CUST000098,Classic,100000,42727.85,57272.15,2025-05-15,2031-05-27,Active
CARD0000256,CUST000483,Gold,75000,16964.32,58035.68,2021-08-28,2028-12-27,Expired
CARD0000257,CUST000385,Platinum,50000,30875.91,19124.09,2017-08-02,2028-01-03,Closed
CARD0000258,CUST000151,Gold,75000,70740.03,4259.97,2018-09-20,2028-02-07,Active
CARD0000259,CUST000547,Classic,50000,21150.32,28849.68,2020-01-07,2030-06-13,Active
CARD0000260,CUST000604,Platinum,500000,455186.54,44813.46,2019-11-01,2029-08-13,Active
CARD0000261,CUST000224,Platinum,200000,197647.22,2352.78,2024-06-06,2029-07-27,Active
CARD0000262,CUST000286,Gold,50000,17629.65,32370.35,2019-07-20,2027-09-23,Expired
CARD0000263,CUST000227,Classic,100000,50068.81,49931.19,2017-01-31,2030-04-03,Expired
CARD0000264,CUST000207,Classic,500000,307781.43,192218.57,2023-01-09,2031-08-23,Active
CARD0000265,CUST000541,Classic,75000,14723.07,60276.93,2023-01-08,2031-12-22,Closed
CARD0000266,CUST000430,Platinum,100000,30167.91,69832.09,2021-01-03,2028-03-15,Expired
CARD0000267,CUST000164,Platinum,150000,129073.4,20926.6,2022-07-22,2031-02-20,Active
CARD0000268,CUST000762,Platinum,500000,86314.41,413685.59,2021-04-12,2027-11-11,Blocked
CARD0000269,CUST000560,Platinum,300000,258318.99,41681.01,2020-04-18,2029-02-11,Active
CARD0000270,CUST000213,Gold,50000,7737.08,42262.92,2024-01-21,2027-07-23,Expired
CARD0000271,CUST000680,Business,75000,11744.2,63255.8,2025-04-12,2028-04-24,Active
CARD0000272,CUST000959,Signature,300000,260783.37,39216.63,2022-04-06,2028-01-31,Active
CARD0000273,CUST000604,Platinum,50000,49730.76,269.24,2025-08-28,2028-05-20,Active
CARD0000274,CUST000094,Business,75000,62832.54,12167.46,2023-06-29,2029-07-24,Active
CARD0000275,CUST000442,Gold,300000,173538.75,126461.25,2020-03-19,2031-10-07,Blocked
CARD0000276,CUST000563,Platinum,50000,37378.77,12621.23,2023-11-05,2028-05-11,Active
CARD0000277,CUST000022,Business,75000,62678.49,12321.51,2019-07-24,2031-04-24,Active
CARD0000278,CUST000605,Platinum,150000,146654.92,3345.08,2025-05-18,2031-10-11,Active
CARD0000279,CUST000085,Gold,75000,59986.99,15013.01,2026-03-11,2031-02-15,Active
CARD0000280,CUST000642,Gold,100000,75281.28,24718.72,2025-01-07,2028-07-28,Expired
CARD0000281,CUST000767,Business,75000,55621.06,19378.94,2017-12-24,2030-03-04,Active
CARD0000282,CUST000941,Signature,150000,24978.65,125021.35,2019-10-11,2029-09-02,Active
CARD0000283,CUST000421,Signature,75000,18088.06,56911.94,2024-04-17,2027-06-08,Active
CARD0000284,CUST000841,Gold,500000,127660.78,372339.22,2021-08-14,2027-11-01,Active
CARD0000285,CUST000087,Signature,150000,77124.22,72875.78,2020-04-24,2031-10-10,Active
CARD0000286,CUST000309,Signature,100000,57775.49,42224.51,2018-09-12,2030-02-09,Active
CARD0000287,CUST000984,Business,300000,107805.96,192194.04,2024-10-10,2031-07-29,Active
CARD0000288,CUST000151,Signature,300000,261945.76,38054.24,2019-07-06,2031-10-27,Closed
CARD0000289,CUST000201,Business,300000,73746.73,226253.27,2018-07-04,2031-06-14,Active
CARD0000290,CUST000692,Classic,75000,12491.5,62508.5,2019-06-13,2031-06-05,Active
CARD0000291,CUST000559,Gold,200000,134303.69,65696.31,2018-09-16,2031-09-23,Blocked
CARD0000292,CUST000172,Gold,100000,79341.96,20658.04,2019-04-04,2029-03-22,Active
CARD0000293,CUST000843,Classic,100000,62350.95,37649.05,2024-03-27,2030-10-23,Active
CARD0000294,CUST000080,Gold,50000,38755.48,11244.52,2019-10-16,2028-10-28,Blocked
